field,year,laureates
Chemistry,1990,Elias James Corey
Chemistry,1989,"Sidney Altman, Thomas R. Cech"
Chemistry,1988,"Hartmut Michel, Johann Deisenhofer, Robert Huber"
Chemistry,1987,"Charles J. Pedersen, Donald J. Cram, Jean-Marie Lehn"
Chemistry,1986,"Dudley R. Herschbach, John C. Polanyi"
Chemistry,1985,"Herbert A. Hauptman, Jerome Karle"
Chemistry,1984,Bruce Merrifield
Chemistry,1983,Henry Taube
Chemistry,1982,Aaron Klug
Chemistry,1981,"Kenichi Fukui, Roald Hoffmann"
Chemistry,1980,"Frederick Sanger, Paul Berg, Walter Gilbert"
Chemistry,1979,"Georg Wittig, Herbert C. Brown"
Chemistry,1978,Peter Mitchell
Chemistry,1977,Ilya Prigogine
Chemistry,1976,William Lipscomb
Chemistry,1975,"John Cornforth, Vladimir Prelog"
Chemistry,1974,Paul J. Flory
Chemistry,1973,"Ernst Otto Fischer, Geoffrey Wilkinson"
Chemistry,1972,"Christian Anfinsen, Stanford Moore, William H. Stein"
Chemistry,1971,Gerhard Herzberg
Chemistry,1970,Luis Leloir
Chemistry,1969,"Derek Barton, Odd Hassel"
Chemistry,1968,Lars Onsager
Chemistry,1967,"George Porter, Manfred Eigen, Ronald G.W. Norrish"
Chemistry,1966,Robert S. Mulliken
Chemistry,1965,Robert B. Woodward
Chemistry,1964,Dorothy Crowfoot Hodgkin
Chemistry,1963,"Giulio Natta, Karl Ziegler"
Chemistry,1962,"John C. Kendrew, Max F. Perutz"
Chemistry,1961,Melvin Calvin
Chemistry,1960,Willard F. Libby
Chemistry,1959,Jaroslav Heyrovsky
Chemistry,1958,Frederick Sanger
Chemistry,1957,Lord Todd
Chemistry,1956,"Nikolay Semenov, Sir Cyril Hinshelwood"
Chemistry,1955,Vincent du Vigneaud
Chemistry,1954,Linus Pauling
Chemistry,1953,Hermann Staudinger
Chemistry,1952,"Archer J.P. Martin, Richard L.M. Synge"
Chemistry,1951,"Edwin M. McMillan, Glenn T. Seaborg"
Chemistry,1950,"Kurt Alder, Otto Diels"
Chemistry,1949,William F. Giauque
Chemistry,1948,Arne Tiselius
Chemistry,1947,Sir Robert Robinson
Chemistry,1946,"James B. Sumner, John H. Northrop, Wendell M. Stanley"
Chemistry,1945,Artturi Virtanen
Chemistry,1944,Otto Hahn
Chemistry,1943,George de Hevesy
Chemistry,1939,"Adolf Butenandt, Leopold Ruzicka"
Chemistry,1938,Richard Kuhn
Chemistry,1937,"Norman Haworth, Paul Karrer"
Chemistry,1936,Peter Debye
Chemistry,1935,"Frédéric Joliot, Irène Joliot-Curie"
Chemistry,1934,Harold C. Urey
Chemistry,1932,Irving Langmuir
Chemistry,1931,"Carl Bosch, Friedrich Bergius"
Chemistry,1930,Hans Fischer
Chemistry,1929,"Arthur Harden, Hans von Euler-Chelpin"
Chemistry,1928,Adolf Windaus
Chemistry,1927,Heinrich Wieland
Chemistry,1926,The Svedberg
Chemistry,1925,Richard Zsigmondy
Chemistry,1923,Fritz Pregl
Chemistry,1922,Francis W. Aston
Chemistry,1921,Frederick Soddy
Chemistry,1920,Walther Nernst
Chemistry,1918,Fritz Haber
Chemistry,1915,Richard Willstätter
Chemistry,1914,Theodore W. Richards
Chemistry,1913,Alfred Werner
Chemistry,1912,"Paul Sabatier, Victor Grignard"
Chemistry,1911,Marie Curie
Chemistry,1910,Otto Wallach
Chemistry,1909,Wilhelm Ostwald
Chemistry,1908,Ernest Rutherford
Chemistry,1907,Eduard Buchner
Chemistry,1906,Henri Moissan
Chemistry,1905,Adolf von Baeyer
Chemistry,1904,Sir William Ramsay
Chemistry,1903,Svante Arrhenius
Chemistry,1902,Emil Fischer
Chemistry,1901,Jacobus H. van 't Hoff
Biology or Medicine,2025,"Fred Ramsdell, Mary E. Brunkow, Shimon Sakaguchi"
Biology or Medicine,2024,"Gary Ruvkun, Victor Ambros"
Biology or Medicine,2023,"Drew Weissman, Katalin Karikó"
Biology or Medicine,2022,Svante Pääbo
Biology or Medicine,2021,"Ardem Patapoutian, David Julius"
Biology or Medicine,2020,"Charles M. Rice, Harvey J. Alter, Michael Houghton"
Biology or Medicine,2019,"Gregg L. Semenza, Sir Peter J. Ratcliffe, William G. Kaelin Jr"
Biology or Medicine,2018,"James P. Allison, Tasuku Honjo"
Biology or Medicine,2017,"Jeffrey C. Hall, Michael Rosbash, Michael W. Young"
Biology or Medicine,2015,"Satoshi Ōmura, Tu Youyou, William C. Campbell"
Biology or Medicine,2014,"Edvard I. Moser, John O'Keefe, May-Britt Moser"
Biology or Medicine,2013,"James E. Rothman, Randy W. Schekman, Thomas C. Südhof"
Biology or Medicine,2012,"Shinya Yamanaka, Sir John B. Gurdon"
Biology or Medicine,2011,"Bruce A. Beutler, Jules A. Hoffmann, Ralph M. Steinman"
Biology or Medicine,2010,Robert G. Edwards
Biology or Medicine,2009,"Carol W. Greider, Elizabeth H. Blackburn, Jack W. Szostak"
Biology or Medicine,2008,"Françoise Barré-Sinoussi, Harald zur Hausen, Luc Montagnier"
Biology or Medicine,2007,"Mario R. Capecchi, Oliver Smithies, Sir Martin J. Evans"
Biology or Medicine,2006,"Andrew Z. Fire, Craig C. Mello"
Biology or Medicine,2005,"Barry J. Marshall, J. Robin Warren"
Biology or Medicine,2004,"Linda B. Buck, Richard Axel"
Biology or Medicine,2003,"Paul C. Lauterbur, Sir Peter Mansfield"
Biology or Medicine,2002,"H. Robert Horvitz, John E. Sulston, Sydney Brenner"
Biology or Medicine,2001,"Leland Hartwell, Sir Paul Nurse, Tim Hunt"
Biology or Medicine,2000,"Arvid Carlsson, Eric Kandel, Paul Greengard"
Biology or Medicine,1999,Günter Blobel
Biology or Medicine,1998,"Ferid Murad, Louis J. Ignarro, Robert F. Furchgott"
Biology or Medicine,1997,Stanley B. Prusiner
Biology or Medicine,1996,"Peter C. Doherty, Rolf M. Zinkernagel"
Biology or Medicine,1995,"Christiane Nüsslein-Volhard, Edward B. Lewis, Eric F. Wieschaus"
Biology or Medicine,1994,"Alfred G. Gilman, Martin Rodbell"
Biology or Medicine,1993,"Phillip A. Sharp, Richard J. Roberts"
Biology or Medicine,1992,"Edmond H. Fischer, Edwin G. Krebs"
Biology or Medicine,1991,"Bert Sakmann, Erwin Neher"
Biology or Medicine,1990,"E. Donnall Thomas, Joseph E. Murray"
Biology or Medicine,1989,"Harold E. Varmus, J. Michael Bishop"
Biology or Medicine,1988,"George H. Hitchings, Gertrude B. Elion, Sir James W. Black"
Biology or Medicine,1987,Susumu Tonegawa
Biology or Medicine,1986,"Rita Levi-Montalcini, Stanley Cohen"
Biology or Medicine,1985,"Joseph L. Goldstein, Michael S. Brown"
Biology or Medicine,1984,"César Milstein, Georges J.F. Köhler, Niels K. Jerne"
Biology or Medicine,1983,Barbara McClintock
Biology or Medicine,1982,"Bengt I. Samuelsson, John R. Vane, Sune K. Bergström"
Biology or Medicine,1981,"David H. Hubel, Roger W. Sperry, Torsten N. Wiesel"
Biology or Medicine,1980,"Baruj Benacerraf, George D. Snell, Jean Dausset"
Biology or Medicine,1979,"Allan M. Cormack, Godfrey N. Hounsfield"
Biology or Medicine,1978,"Daniel Nathans, Hamilton O. Smith, Werner Arber"
Biology or Medicine,1977,"Andrew V. Schally, Roger Guillemin, Rosalyn Yalow"
Biology or Medicine,1976,"Baruch S. Blumberg, D. Carleton Gajdusek"
Biology or Medicine,1975,"David Baltimore, Howard M. Temin, Renato Dulbecco"
Biology or Medicine,1974,"Albert Claude, Christian de Duve, George E. Palade"
Biology or Medicine,1973,"Karl von Frisch, Konrad Lorenz, Nikolaas Tinbergen"
Biology or Medicine,1972,"Gerald M. Edelman, Rodney R. Porter"
Biology or Medicine,1971,"Earl W. Sutherland, Jr."
Biology or Medicine,1970,"Julius Axelrod, Sir Bernard Katz, Ulf von Euler"
Biology or Medicine,1969,"Alfred D. Hershey, Max Delbrück, Salvador E. Luria"
Biology or Medicine,1968,"H. Gobind Khorana, Marshall W. Nirenberg, Robert W. Holley"
Biology or Medicine,1967,"George Wald, Keffer Hartline, Ragnar Granit"
Biology or Medicine,1966,"Charles B. Huggins, Peyton Rous"
Biology or Medicine,1965,"André Lwoff, François Jacob, Jacques Monod"
Biology or Medicine,1964,"Feodor Lynen, Konrad Bloch"
Biology or Medicine,1963,"Alan Hodgkin, Andrew Huxley, Sir John Eccles"
Biology or Medicine,1962,"Francis Crick, James Watson, Maurice Wilkins"
Biology or Medicine,1961,Georg von Békésy
Biology or Medicine,1960,"Peter Medawar, Sir Frank Macfarlane Burnet"
Biology or Medicine,1959,"Arthur Kornberg, Severo Ochoa"
Biology or Medicine,1958,"Edward Tatum, George Beadle, Joshua Lederberg"
Biology or Medicine,1957,Daniel Bovet
Biology or Medicine,1956,"André F. Cournand, Dickinson W. Richards, Werner Forssmann"
Biology or Medicine,1955,Hugo Theorell
Biology or Medicine,1954,"Frederick C. Robbins, John F. Enders, Thomas H. Weller"
Biology or Medicine,1953,"Fritz Lipmann, Hans Krebs"
Biology or Medicine,1952,Selman A. Waksman
Biology or Medicine,1951,Max Theiler
Biology or Medicine,1950,"Edward C. Kendall, Philip S. Hench, Tadeus Reichstein"
Biology or Medicine,1949,"Egas Moniz, Walter Hess"
Biology or Medicine,1948,Paul Müller
Biology or Medicine,1947,"Bernardo Houssay, Carl Cori, Gerty Cori"
Biology or Medicine,1946,Hermann J. Muller
Biology or Medicine,1945,"Ernst B. Chain, Sir Alexander Fleming, Sir Howard Florey"
Biology or Medicine,1944,"Herbert S. Gasser, Joseph Erlanger"
Biology or Medicine,1943,"Edward A. Doisy, Henrik Dam"
Biology or Medicine,1939,Gerhard Domagk
Biology or Medicine,1938,Corneille Heymans
Biology or Medicine,1937,Albert Szent-Györgyi
Biology or Medicine,1936,"Otto Loewi, Sir Henry Dale"
Biology or Medicine,1935,Hans Spemann
Biology or Medicine,1934,"George H. Whipple, George R. Minot, William P. Murphy"
Biology or Medicine,1933,Thomas H. Morgan
Biology or Medicine,1932,"Edgar Adrian, Sir Charles Sherrington"
Biology or Medicine,1931,Otto Warburg
Biology or Medicine,1930,Karl Landsteiner
Biology or Medicine,1929,"Christiaan Eijkman, Sir Frederick Hopkins"
Biology or Medicine,1928,Charles Nicolle
Biology or Medicine,1927,Julius Wagner-Jauregg
Biology or Medicine,1926,Johannes Fibiger
Biology or Medicine,1924,Willem Einthoven
Biology or Medicine,1923,"Frederick G. Banting, John Macleod"
Biology or Medicine,1922,"Archibald V. Hill, Otto Meyerhof"
Biology or Medicine,1920,August Krogh
Biology or Medicine,1919,Jules Bordet
Biology or Medicine,1914,Robert Bárány
Biology or Medicine,1913,Charles Richet
Biology or Medicine,1912,Alexis Carrel
Biology or Medicine,1911,Allvar Gullstrand
Biology or Medicine,1910,Albrecht Kossel
Biology or Medicine,1909,Theodor Kocher
Biology or Medicine,1908,"Ilya Mechnikov, Paul Ehrlich"
Biology or Medicine,1907,Alphonse Laveran
Biology or Medicine,1906,"Camillo Golgi, Santiago Ramón y Cajal"
Biology or Medicine,1905,Robert Koch
Biology or Medicine,1904,Ivan Pavlov
Biology or Medicine,1903,Niels Ryberg Finsen
Biology or Medicine,1902,Ronald Ross
Biology or Medicine,1901,Emil von Behring
Literature,2025,László Krasznahorkai
Literature,2024,Han Kang
Literature,2023,Jon Fosse
Literature,2022,Annie Ernaux
Literature,2021,Abdulrazak Gurnah
Literature,2020,Louise Glück
Literature,2019,Peter Handke
Literature,2018,Olga Tokarczuk
Literature,2017,Kazuo Ishiguro
Literature,2016,Bob Dylan
Literature,2015,Svetlana Alexievich
Literature,2014,Patrick Modiano
Literature,2013,Alice Munro
Literature,2012,Mo Yan
Literature,2011,Tomas Tranströmer
Literature,2010,Mario Vargas Llosa
Literature,2009,Herta Müller
Literature,2008,Jean-Marie Gustave Le Clézio
Literature,2007,Doris Lessing
Literature,2006,Orhan Pamuk
Literature,2005,Harold Pinter
Literature,2004,Elfriede Jelinek
Literature,2003,J. M. Coetzee
Literature,2002,Imre Kertész
Literature,2001,V. S. Naipaul
Literature,2000,Gao Xingjian
Literature,1999,Günter Grass
Literature,1998,José Saramago
Literature,1997,Dario Fo
Literature,1995,Seamus Heaney
Literature,1994,Kenzaburo Oe
Literature,1993,Toni Morrison
Literature,1992,Derek Walcott
Literature,1991,Nadine Gordimer
Literature,1990,Octavio Paz
Literature,1989,Camilo José Cela
Literature,1988,Naguib Mahfouz
Literature,1987,Joseph Brodsky
Literature,1985,Claude Simon
Literature,1984,Jaroslav Seifert
Literature,1983,William Golding
Literature,1982,Gabriel García Márquez
Literature,1981,Elias Canetti
Literature,1980,Czesław Miłosz
Literature,1979,Odysseus Elytis
Literature,1978,Isaac Bashevis Singer
Literature,1977,Vicente Aleixandre
Literature,1976,Saul Bellow
Literature,1975,Eugenio Montale
Literature,1974,"Eyvind Johnson, Harry Martinson"
Literature,1973,Patrick White
Literature,1972,Heinrich Böll
Literature,1971,Pablo Neruda
Literature,1970,Aleksandr Solzhenitsyn
Literature,1969,Samuel Beckett
Literature,1967,Miguel Angel Asturias
Literature,1966,"Nelly Sachs, Shmuel Agnon"
Literature,1965,Mikhail Sholokhov
Literature,1964,Jean-Paul Sartre
Literature,1963,Giorgos Seferis
Literature,1962,John Steinbeck
Literature,1961,Ivo Andrić
Literature,1960,Saint-John Perse
Literature,1959,Salvatore Quasimodo
Literature,1958,Boris Pasternak
Literature,1957,Albert Camus
Literature,1956,Juan Ramón Jiménez
Literature,1955,Halldór Laxness
Literature,1954,Ernest Hemingway
Literature,1952,François Mauriac
Literature,1951,Pär Lagerkvist
Literature,1950,Bertrand Russell
Literature,1949,William Faulkner
Literature,1948,T.S. Eliot
Literature,1947,André Gide
Literature,1946,Hermann Hesse
Literature,1945,Gabriela Mistral
Literature,1944,Johannes V. Jensen
Literature,1939,Frans Eemil Sillanpää
Literature,1938,Pearl Buck
Literature,1937,Roger Martin du Gard
Literature,1936,Eugene O'Neill
Literature,1934,Luigi Pirandello
Literature,1933,Ivan Bunin
Literature,1932,John Galsworthy
Literature,1931,Erik Axel Karlfeldt
Literature,1930,Sinclair Lewis
Literature,1929,Thomas Mann
Literature,1928,Sigrid Undset
Literature,1927,Henri Bergson
Literature,1926,Grazia Deledda
Literature,1925,George Bernard Shaw
Literature,1923,William Butler Yeats
Literature,1922,Jacinto Benavente
Literature,1921,Anatole France
Literature,1920,Knut Hamsun
Literature,1919,Carl Spitteler
Literature,1917,"Henrik Pontoppidan, Karl Gjellerup"
Literature,1916,Verner von Heidenstam
Literature,1915,Romain Rolland
Literature,1913,Rabindranath Tagore
Literature,1912,Gerhart Hauptmann
Literature,1911,Maurice Maeterlinck
Literature,1910,Paul Heyse
Literature,1909,Selma Lagerlöf
Literature,1908,Rudolf Eucken
Literature,1907,Rudyard Kipling
Literature,1906,Giosuè Carducci
Literature,1905,Henryk Sienkiewicz
Literature,1904,"Frédéric Mistral, José Echegaray"
Literature,1903,Bjørnstjerne Bjørnson
Literature,1902,Theodor Mommsen
Literature,1901,Sully Prudhomme
Peace,2025,Maria Corina Machado
Peace,2024,Nihon Hidankyo
Peace,2023,Narges Mohammadi
Peace,2022,"Ales Bialiatski, Center for Civil Liberties, Memorial"
Peace,2021,"Dmitry Muratov, Maria Ressa"
Peace,2019,Abiy Ahmed Ali
Peace,2018,"Denis Mukwege, Nadia Murad"
Peace,2017,International Campaign to Abolish Nuclear Weapons
Peace,2016,Juan Manuel Santos
Peace,2015,National Dialogue Quartet
Peace,2014,"Kailash Satyarthi, Malala Yousafzai"
Peace,2013,Organisation for the Prohibition of Chemical Weapons
Peace,2012,European Union
Peace,2011,"Ellen Johnson Sirleaf, Leymah Gbowee, Tawakkol Karman"
Peace,2010,Liu Xiaobo
Peace,2009,Barack H. Obama
Peace,2008,Martti Ahtisaari
Peace,2007,"Al Gore, Intergovernmental Panel on Climate Change"
Peace,2006,"Grameen Bank, Muhammad Yunus"
Peace,2005,"International Atomic Energy Agency, Mohamed ElBaradei"
Peace,2004,Wangari Maathai
Peace,2003,Shirin Ebadi
Peace,2002,Jimmy Carter
Peace,2001,"Kofi Annan, United Nations"
Peace,2000,Kim Dae-jung
Peace,1999,Doctors Without Borders
Peace,1998,"David Trimble, John Hume"
Peace,1997,"International Campaign to Ban Landmines, Jody Williams"
Peace,1996,"Carlos Filipe Ximenes Belo, José Ramos-Horta"
Peace,1995,"Joseph Rotblat, Pugwash Conferences on Science and World Affairs"
Peace,1994,Shimon Peres
Peace,1993,"F.W. de Klerk, Nelson Mandela"
Peace,1992,Rigoberta Menchú Tum
Peace,1991,Aung San Suu Kyi
Peace,1990,Mikhail Gorbachev
Peace,1989,The 14th Dalai Lama
Peace,1988,United Nations Peacekeeping Forces
Peace,1987,Oscar Arias Sánchez
Peace,1986,Elie Wiesel
Peace,1985,International Physicians for the Prevention of Nuclear War
Peace,1984,Desmond Tutu
Peace,1983,Lech Wałęsa
Peace,1982,"Alfonso García Robles, Alva Myrdal"
Peace,1981,Office of the United Nations High Commissioner for Refugees
Peace,1980,Adolfo Pérez Esquivel
Peace,1979,Mother Teresa
Peace,1978,"Anwar al-Sadat, Menachem Begin"
Peace,1977,Amnesty International
Peace,1976,"Betty Williams, Mairead Corrigan"
Peace,1975,Andrei Sakharov
Peace,1974,"Eisaku Satō, Seán MacBride"
Peace,1973,"Henry Kissinger, Le Duc Tho"
Peace,1970,Norman Borlaug
Peace,1969,International Labour Organization
Peace,1968,René Cassin
Peace,1965,United Nations Children's Fund
Peace,1964,Martin Luther King Jr.
Peace,1963,"International Committee of the Red Cross, League of Red Cross"
Peace,1962,Linus Pauling
Peace,1961,Dag Hammarskjöld
Peace,1960,Albert Lutuli
Peace,1959,Philip Noel-Baker
Peace,1958,Georges Pire
Peace,1957,Lester Bowles Pearson
Peace,1954,Office of the United Nations High Commissioner for Refugees
Peace,1953,George C. Marshall
Peace,1952,Albert Schweitzer
Peace,1951,Léon Jouhaux
Peace,1950,Ralph Bunche
Peace,1949,Lord Boyd Orr
Peace,1947,"American Friends Service Committee, Friends Service Council"
Peace,1946,"Emily Greene Balch, John R. Mott"
Peace,1945,Cordell Hull
Peace,1944,International Committee of the Red Cross
Peace,1938,Nansen International Office for Refugees
Peace,1937,"Robert Cecil, Viscount Cecil of Chelwood"
Peace,1936,Carlos Saavedra Lamas
Peace,1935,Carl von Ossietzky
Peace,1934,Arthur Henderson
Peace,1933,Sir Norman Angell
Peace,1931,"Jane Addams, Nicholas Murray Butler"
Peace,1930,Nathan Söderblom
Peace,1929,Frank B. Kellogg
Peace,1927,"Ferdinand Buisson, Ludwig Quidde"
Peace,1926,"Aristide Briand, Gustav Stresemann"
Peace,1925,"Charles G. Dawes, Sir Austen Chamberlain"
Peace,1922,Fridtjof Nansen
Peace,1921,"Christian Lange, Hjalmar Branting"
Peace,1920,Léon Bourgeois
Peace,1917,International Committee of the Red Cross
Peace,1913,Henri La Fontaine
Peace,1912,Elihu Root
Peace,1911,"Alfred Fried, Tobias Asser"
Peace,1910,Permanent International Peace Bureau
Peace,1909,"Auguste Beernaert, Paul Henri d'Estournelles de Constant"
