tournament,year,champion,runner_up
Copa America,1987,Uruguay,Chile
Copa America,1989,Brazil,Uruguay
Copa America,1991,Argentina,Brazil
Copa America,1993,Argentina,Mexico
Copa America,1995,Uruguay,Brazil
Copa America,1997,Brazil,Bolivia
Copa America,1999,Brazil,Uruguay
Copa America,2001,Colombia,Mexico
Copa America,2004,Brazil,Argentina
Copa America,2007,Brazil,Argentina
Copa America,2011,Uruguay,Paraguay
Copa America,2015,Chile,Argentina
Copa America,2016,Chile,Argentina
Copa America,2019,Brazil,Peru
Copa America,2021,Argentina,Brazil
Copa America,2024,Argentina,Colombia
Africa Cup of Nations,1957,Egypt,Ethiopia
Africa Cup of Nations,1959,Egypt,Sudan
Africa Cup of Nations,1962,Ethiopia,Egypt
Africa Cup of Nations,1963,Ghana,Sudan
Africa Cup of Nations,1965,Ghana,Tunisia
Africa Cup of Nations,1968,DR Congo,Ghana
Africa Cup of Nations,1970,Sudan,Ghana
Africa Cup of Nations,1972,Congo,Mali
Africa Cup of Nations,1974,DR Congo,Zambia
Africa Cup of Nations,1976,Morocco,Guinea
Africa Cup of Nations,1978,Ghana,Uganda
Africa Cup of Nations,1980,Nigeria,Algeria
Africa Cup of Nations,1982,Ghana,Libya
Africa Cup of Nations,1984,Cameroon,Nigeria
Africa Cup of Nations,1986,Egypt,Cameroon
Africa Cup of Nations,1988,Cameroon,Nigeria
Africa Cup of Nations,1990,Algeria,Nigeria
Africa Cup of Nations,1992,Ivory Coast,Ghana
Africa Cup of Nations,1994,Nigeria,Zambia
Africa Cup of Nations,1996,South Africa,Tunisia
Africa Cup of Nations,1998,Egypt,South Africa
Africa Cup of Nations,2000,Cameroon,Nigeria
Africa Cup of Nations,2002,Cameroon,Senegal
Africa Cup of Nations,2004,Tunisia,Morocco
Africa Cup of Nations,2006,Egypt,Ivory Coast
Africa Cup of Nations,2008,Egypt,Cameroon
Africa Cup of Nations,2010,Egypt,Ghana
Africa Cup of Nations,2012,Zambia,Ivory Coast
Africa Cup of Nations,2013,Nigeria,Burkina Faso
Africa Cup of Nations,2015,Ivory Coast,Ghana
Africa Cup of Nations,2017,Cameroon,Egypt
Africa Cup of Nations,2019,Algeria,Senegal
Africa Cup of Nations,2021,Senegal,Egypt
Africa Cup of Nations,2023,Ivory Coast,Nigeria
Africa Cup of Nations,2025,Morocco,Senegal
Asian Cup,1956,South Korea,Israel
Asian Cup,1960,South Korea,Israel
Asian Cup,1964,Israel,India
Asian Cup,1968,Iran,Myanmar
Asian Cup,1972,Iran,South Korea
Asian Cup,1976,Iran,Kuwait
Asian Cup,1980,Kuwait,South Korea
Asian Cup,1984,Saudi Arabia,China
Asian Cup,1988,Saudi Arabia,South Korea
Asian Cup,1992,Japan,Saudi Arabia
Asian Cup,1996,Saudi Arabia,United Arab Emirates
Asian Cup,2000,Japan,Saudi Arabia
Asian Cup,2004,Japan,China
Asian Cup,2007,Iraq,Saudi Arabia
Asian Cup,2011,Japan,Australia
Asian Cup,2015,Australia,South Korea
Asian Cup,2019,Qatar,Japan
Asian Cup,2023,Qatar,Jordan
ASEAN Championship,1996,Thailand,Malaysia
ASEAN Championship,1998,Singapore,Vietnam
ASEAN Championship,2000,Thailand,Indonesia
ASEAN Championship,2002,Thailand,Indonesia
ASEAN Championship,2004,Singapore,Indonesia
ASEAN Championship,2007,Singapore,Thailand
ASEAN Championship,2008,Vietnam,Thailand
ASEAN Championship,2010,Malaysia,Indonesia
ASEAN Championship,2012,Singapore,Thailand
ASEAN Championship,2014,Thailand,Malaysia
ASEAN Championship,2016,Thailand,Indonesia
ASEAN Championship,2018,Vietnam,Malaysia
ASEAN Championship,2020,Thailand,Indonesia
ASEAN Championship,2022,Thailand,Vietnam
ASEAN Championship,2024,Vietnam,Thailand
