type,country,series,title,year,director,writer
series,United States,MCU (Phase 4),Spider-Man: No Way Home,2021,,
series,United States,MCU (Phase 4),Doctor Strange in the Multiverse of Madness,2022,,
series,United States,MCU (Phase 4),Thor: Love and Thunder,2022,,
series,United States,MCU (Phase 4),Black Panther: Wakanda Forever,2022,,
series,United States,MCU (Phase 5),Ant-Man and the Wasp: Quantumania,2023,,
series,United States,MCU (Phase 5),Guardians of the Galaxy Vol. 3,2023,,
series,United States,MCU (Phase 5),The Marvels,2023,,
series,United States,MCU (Phase 5),Deadpool & Wolverine,2024,,
series,United States,MCU (Phase 5),Captain America: Brave New World,2025,,
series,United States,MCU (Phase 5),Thunderbolts\*,2025,,
series,United States,MCU (Phase 6),The Fantastic Four: First Steps,2025,,
series,United States,MCU (Phase 6),Spider-Man: Brand New Day,2026,,
series,United States,MCU (Phase 6),Avengers: Doomsday,2026,,
series,United States,MCU (Phase 6),Avengers: Secret Wars,2027,,
