id,stage_name,full_name,korean_name,k_stage_name,date_of_birth,group,debut,company,country,second_country,height,weight,birthplace,other_group,former_group,gender,birth_year,debut_year,debut_age
13,Yoona,Ogura Yuuna,오구라 유우나,유우나,2000-10-13,bugAboo,2021-10-25,A team,Japan,N/A,N/A,N/A,Sapporo,N/A,N/A,F,2000.0,2021.0,21.0
14,Zin,Jin Hyunbin,진현빈,지인,2001-08-31,bugAboo,2021-10-25,A team,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2021.0,20.0
15,Baekah,Kim Sua,김수아,백아,1999-10-24,XUM,2020-09-22,A100,South Korea,N/A,N/A,N/A,N/A,N/A,NeonPunch,F,1999.0,2020.0,21.0
16,Dayeon,Hwang Da Kyeon,황연경,다연,1995-11-17,XUM,2020-09-22,A100,South Korea,N/A,N/A,N/A,N/A,N/A,NeonPunch,F,1995.0,2020.0,25.0
17,Iaan,Yoo Dongju,유동주,이안,2002-03-22,XUM,2020-09-22,A100,South Korea,N/A,N/A,N/A,N/A,N/A,NeonPunch,F,2002.0,2020.0,18.0
18,Duna,Kang Duna,강두나,두나,2005-04-28,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Gangwon,N/A,N/A,F,2005.0,2022.0,17.0
19,Geumhee,Han Geumhee,한금희,금희,2005-03-04,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Incheon,N/A,N/A,F,2005.0,2022.0,17.0
20,Seoyeon,Ahn Seoyeon,안서연,서연,2005-03-26,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Bucheon,N/A,N/A,F,2005.0,2022.0,17.0
21,Sihyeon,Hwang Sihyeon,황시현,시현,2005-03-12,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Uijeongbu,N/A,N/A,F,2005.0,2022.0,17.0
22,Sua,Yoo Sua,유수아,수아,2005-07-23,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Anyang,N/A,N/A,F,2005.0,2022.0,17.0
23,Yeham,Gu Yeham,구예함,예함,2005-10-07,CSR,2022-07-27,A2Z,South Korea,N/A,N/A,N/A,Pyeongtaek,N/A,N/A,F,2005.0,2022.0,17.0
24,Yuna,Iimura Yuna,이이무라 유나,유나,2005-04-23,CSR,2022-07-27,A2Z,Japan,N/A,N/A,N/A,Ibaraki,N/A,N/A,F,2005.0,2022.0,17.0
25,Damhee,Park Damhee,박담희,담희,2000-06-21,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2022.0,22.0
26,Gaeun,Lee Gaeun,이가은,가은,2000-07-18,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2022.0,22.0
27,Haeun,Lee Haeun,윤하은,하은,2002-06-25,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,157.0,N/A,N/A,N/A,N/A,F,2002.0,2022.0,20.0
28,Seyoung,Ha Seyoung,하세영,세영,1999-02-03,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,166.0,50.0,Daegu,N/A,N/A,F,1999.0,2022.0,23.0
29,Sieun,Lee Sieun,이시은,시은,2001-05-29,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,160.0,50.0,Daegu,N/A,N/A,F,2001.0,2022.0,21.0
30,Yoojin,Ahn Yoojin,안유진,유진,2000-02-29,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2022.0,22.0
31,Yubin,Oh Yubin,오유빈,유빈,1998-11-26,ARTBEAT,2022-11-16,AB Creative,South Korea,N/A,162.0,47.0,N/A,N/A,N/A,F,1998.0,2022.0,24.0
32,Hongil,Yoon Hongil,윤홍일,홍일,1999-01-11,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2022.0,23.0
33,Hyeongseok,Chu Hyeongseok,추형석,형석,2000-09-13,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
34,Jingyu,Lee Jingyu,이진규,진규,1998-04-22,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2022.0,24.0
35,Junghun,Jang Junghun,장정훈,정훈,1999-02-27,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2022.0,23.0
36,Mir,Lee Yoonsang,이윤상,미르,2000-03-06,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
37,Seungjun,Ji Seungjun,지승준,승준,1998-09-15,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2022.0,24.0
38,Yeram,Yang Yeram,양예람,예람,2000-03-31,Astin,2022-11-16,AB Creative,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2022.0,22.0
39,Danielle,Mo Jihye,모지혜,다니엘,2005-04-11,NewJeans,2022-07-22,ADOR,South Korea,Australia,165.0,N/A,Munsan,N/A,N/A,F,2005.0,2022.0,17.0
40,Haerin,Kang Haerin,강해린,해린,2006-05-15,NewJeans,2022-07-22,ADOR,South Korea,N/A,165.0,N/A,Gimcheon,N/A,N/A,F,2006.0,2022.0,16.0
41,Hanni,Pham Ngoc Han,팜응옥헌,하니,2004-10-06,NewJeans,2022-07-22,ADOR,Vietnam,N/A,162.0,N/A,Melbourne,N/A,N/A,F,2004.0,2022.0,18.0
42,Hyein,Lee Hyein,이혜인,혜인,2008-04-21,NewJeans,2022-07-22,ADOR,South Korea,N/A,170.0,N/A,Incheon,N/A,N/A,F,2008.0,2022.0,14.0
43,Minji,Kim Minji,김민지,민지,2004-05-07,NewJeans,2022-07-22,ADOR,South Korea,N/A,169.0,N/A,Yeongwol,N/A,N/A,F,2004.0,2022.0,18.0
44,Dajeong,Jung Dajeong,정다정,다정,2003-07-31,Pixy,2021-02-24,ALLART,South Korea,N/A,157.0,42.0,N/A,N/A,N/A,F,2003.0,2021.0,18.0
45,Dia,Choi Eunji,최은지,디아,2001-07-16,Pixy,2021-02-24,ALLART,South Korea,N/A,165.0,N/A,N/A,N/A,N/A,F,2001.0,2021.0,20.0
46,Lola,Choi Yoojung,최유정,로라,2001-02-22,Pixy,2021-02-24,ALLART,South Korea,N/A,169.0,N/A,N/A,N/A,N/A,F,2001.0,2021.0,20.0
47,Rinji,Hwang Rinji,황린지,린지,2006-05-05,Pixy,2021-02-24,ALLART,South Korea,N/A,169.0,N/A,N/A,N/A,N/A,F,2006.0,2021.0,15.0
48,Sua,Choi Sooah,최수아,수아,2003-02-24,Pixy,2021-02-24,ALLART,South Korea,N/A,162.0,44.0,N/A,N/A,N/A,F,2003.0,2021.0,18.0
49,Dalyn,Lee Sohyun,이소현,달린,1999-08-27,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1999.0,2019.0,20.0
50,Dami,Hong Dayoung,홍다영,담이,2001-06-07,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2019.0,18.0
51,Haena,Jeon Eunbi,전은비,해나,2002-02-19,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2019.0,17.0
52,J,Lee Yeji,이예지,제이,1998-02-12,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2019.0,21.0
53,Lina,Oh Sejin,오세진,리나,1997-07-27,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1997.0,2019.0,22.0
54,Raon,Lee Seoyoung,이서영,라온,2000-01-21,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2000.0,2019.0,19.0
55,Royeon,Jeon Hyunjoo,전현주,로연,1998-02-20,ANS,2019-09-16,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1998.0,2019.0,21.0
56,Aki,Jang Minju,장민주,아키,2001-02-12,MAJORS,2021-03-09,ANS,South Korea,N/A,168.0,48.0,N/A,N/A,N/A,F,2001.0,2021.0,20.0
57,Bian,Yu Jiwon,유지원,비안,2001-02-13,MAJORS,2021-03-09,ANS,South Korea,N/A,N/A,N/A,N/A,N/A,ANS,F,2001.0,2021.0,20.0
58,Ida,Ko Chaeyoung,고채영,아이다,2000-05-19,MAJORS,2021-03-09,ANS,South Korea,N/A,163.0,43.0,N/A,N/A,N/A,F,2000.0,2021.0,21.0
59,Shinye,Kam Yerim,감예림,신예,2004-03-07,MAJORS,2021-03-09,ANS,South Korea,N/A,166.0,46.0,N/A,N/A,N/A,F,2004.0,2021.0,17.0
60,Suzy,Kim Suji,김수지,수지,2001-06-03,MAJORS,2021-03-09,ANS,South Korea,N/A,164.0,45.0,N/A,N/A,N/A,F,2001.0,2021.0,20.0
61,Vita,Kim Jimin,김지민,비타,2000-02-03,MAJORS,2021-03-09,ANS,South Korea,N/A,168.0,54.0,N/A,N/A,N/A,F,2000.0,2021.0,21.0
62,Ruby,Heo Jiwon,허지원,루비,2002-08-21,PRIMROSE,2023-03-13,AO,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2002.0,2023.0,21.0
63,Yeum,Jung Myeongwoo,정명우,예음,2001-11-19,PRIMROSE,2023-03-13,AO,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,2001.0,2023.0,22.0
64,Boa,Kim Boah,김보아,보아,1987-01-14,KEEMBO,2020-04-10,ARA-LINE,South Korea,N/A,N/A,N/A,N/A,N/A,SPICA,F,1987.0,2020.0,33.0
65,Bohyung,Kim Bohyung,김보형,보형,1991-03-31,KEEMBO,2020-04-10,ARA-LINE,South Korea,N/A,N/A,N/A,N/A,SPICA-S,SPICA,F,1991.0,2020.0,29.0
66,Aran,Jeong Eunah,정은아,아란,2004-10-11,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,N/A,162.0,44.0,N/A,N/A,N/A,F,2004.0,2022.0,18.0
67,Keena,Song Jakyung,송자경,키나,2002-07-09,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,N/A,164.0,45.0,N/A,N/A,N/A,F,2002.0,2022.0,20.0
68,Saena,Jung Sehyun,정세현,새나,2004-03-12,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,N/A,160.0,42.0,Busan,N/A,N/A,F,2004.0,2022.0,18.0
69,Sio,Jeong Jiho,정지호,시오,2004-10-06,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,N/A,165.0,45.0,Iksan,N/A,N/A,F,2004.0,2022.0,18.0
70,Bomin,Kim Bomin,김보민,보민,2001-09-24,RedSquare,2020-05-19,About,South Korea,N/A,N/A,N/A,Gwangju,N/A,Good Day,F,2001.0,2020.0,19.0
71,Lina,Oh Hyesoo,오혜수,리나,1997-05-23,RedSquare,2020-05-19,About,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1997.0,2020.0,23.0
72,Chanyoung,Kim Chanyoung,김찬영,찬영,2000-11-20,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2018.0,18.0
73,Dylan,Park Yeonjae,박연재,딜란,2002-07-26,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2002.0,2018.0,16.0
74,Hyunho,Lee Hyunho,이현호,현호,1998-11-04,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2018.0,20.0
75,Hyunoh,Park Hyunoh,백현우,현우,1999-02-12,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2018.0,19.0
76,Hyunwoo,Baek Hyunwoo,박현오,현오,1999-03-19,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2018.0,19.0
77,Hyunwook,Ji Hyunwook,지현욱,현욱,1998-07-01,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2018.0,20.0
78,Jeongseung,Park Jeongseung,박정승,정승,2002-05-20,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2002.0,2018.0,16.0
79,Minhyuk,Kim Minhyuk,김민혁,민혁,1999-11-06,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2018.0,19.0
80,O.V,Kim Sanchan,김상찬,오뷔,1999-01-03,D-CRUNCH,2018-08-06,All-S,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2018.0,19.0
81,Bada,Kim Bada,김바다,바다,2002-05-28,Hinapia,2019-11-03,Alseulbit,South Korea,N/A,162.0,49.0,N/A,N/A,N/A,F,2002.0,2019.0,17.0
82,Eunwoo,Jeong Eunwoo,정은우,은우,1998-07-01,Hinapia,2019-11-03,Alseulbit,South Korea,N/A,167.0,48.0,N/A,Pristin V,Pristin,F,1998.0,2019.0,21.0
83,Rena,Kang Yebin,강예빈,레나,1998-10-19,Hinapia,2019-11-03,Alseulbit,South Korea,N/A,162.0,49.0,N/A,Pristin V,Pristin,F,1998.0,2019.0,21.0
84,Roa,Kim Minkyung,김민경,로아,1997-07-29,Hinapia,2019-11-03,Alseulbit,South Korea,N/A,172.0,49.0,N/A,Pristin V,Pristin,F,1997.0,2019.0,22.0
85,Yuha,Kang Kyungwon,강경원,유하,1997-11-05,Hinapia,2019-11-03,Alseulbit,South Korea,N/A,170.0,50.0,N/A,N/A,Pristin,F,1997.0,2019.0,22.0
86,Casper,Chu Xiaoxiang,저효상,캐스퍼,1991-03-20,CROSS GENE,2012-07-08,Amuse,China,N/A,176.0,66.0,Shanghai,N/A,N/A,M,1991.0,2012.0,21.0
87,Sangmin,Kim Sangmin,김상민,상민,1992-07-07,CROSS GENE,2012-07-08,Amuse,South Korea,N/A,178.0,67.0,Jinju,N/A,N/A,M,1992.0,2012.0,20.0
88,Seyoung,Lee Seyoung,이세영,세영,1990-02-08,CROSS GENE,2012-07-08,Amuse,South Korea,N/A,180.0,60.0,Busan,N/A,N/A,M,1990.0,2012.0,22.0
89,Shin,Shin Wonho,신원호,신,1991-10-23,CROSS GENE,2012-07-08,Amuse,South Korea,N/A,185.0,66.0,Seoul,N/A,N/A,M,1991.0,2012.0,21.0
90,Takuya,Terada Takuya,테라다 타쿠야,타쿠야,1992-03-18,CROSS GENE,2012-07-08,Amuse,Japan,N/A,187.0,68.0,Moriya,N/A,N/A,M,1992.0,2012.0,20.0
91,Yongseok,Kim Yongseok,김용석,용석,1993-01-08,CROSS GENE,2012-07-08,Amuse,South Korea,N/A,176.0,64.0,Seoul,N/A,N/A,M,1993.0,2012.0,19.0
92,Dongwoon,Son Dongwoon,손동운,동운,1991-06-06,Highlight,2009-10-14,Around Us,South Korea,N/A,181.0,64.0,Busan,N/A,Beast,M,1991.0,2009.0,18.0
93,Doojoon,Yoon Doojoon,윤두준,두준,1989-07-04,Highlight,2009-10-14,Around Us,South Korea,N/A,177.0,66.0,Goyang,N/A,Beast,M,1989.0,2009.0,20.0
94,Gikwang,Lee Gikwang,이기광,기광,1990-03-30,Highlight,2009-10-14,Around Us,South Korea,N/A,171.0,58.0,Gwangju,N/A,Beast,M,1990.0,2009.0,19.0
95,Junhyung,Yong Junyung,용준형,준형,1989-12-19,Highlight,2009-10-14,Around Us,South Korea,N/A,178.0,64.0,Seoul,N/A,Beast,M,1989.0,2009.0,20.0
96,Yoseob,Yang Yoseob,양요섭,요섭,1990-01-05,Highlight,2009-10-14,Around Us,South Korea,N/A,171.0,56.0,Seoul,N/A,Beast,M,1990.0,2009.0,19.0
97,Daye,Kim Hyunjung,김현정,다예,1998-02-25,Berry Good,2014-05-21,Asia Bridge,South Korea,N/A,167.0,N/A,N/A,N/A,N/A,F,1998.0,2014.0,16.0
98,Gowoon,Moon Yujeong,문유정,고운,1998-12-18,Berry Good,2014-05-21,Asia Bridge,South Korea,N/A,167.0,N/A,N/A,N/A,N/A,F,1998.0,2014.0,16.0
99,Johyun,Shin Jiwon,신지원,조현,1996-04-14,Berry Good,2014-05-21,Asia Bridge,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,F,1996.0,2014.0,18.0
100,Sehyung,Kang Sehyung,강세형,세형,1998-12-13,Berry Good,2014-05-21,Asia Bridge,South Korea,N/A,169.0,N/A,N/A,N/A,N/A,F,1998.0,2014.0,16.0
101,Seoyul,Seo Yuri,서유리,서율,1997-11-26,Berry Good,2014-05-21,Asia Bridge,South Korea,N/A,163.0,N/A,N/A,N/A,N/A,F,1997.0,2014.0,17.0
102,Ahra,Go Ahra,고아라,아라,2001-02-21,Favorite,2017-07-05,Astory,South Korea,N/A,N/A,N/A,Yeosu,N/A,N/A,F,2001.0,2017.0,16.0
103,Gaeul,Park Gaeul,박가을,가을,1999-05-08,Favorite,2017-07-05,Astory,South Korea,N/A,164.0,48.0,Seoul,N/A,N/A,F,1999.0,2017.0,18.0
104,Jeonghee,Go Jeonghee,고정희,정희,2000-03-11,Favorite,2017-07-05,Astory,South Korea,N/A,N/A,N/A,Incheon,N/A,N/A,F,2000.0,2017.0,17.0
105,Saebom,Kim Seyoung,김세영,새봄,1995-01-13,Favorite,2017-07-05,Astory,South Korea,N/A,N/A,N/A,Gwacheon,N/A,N/A,F,1995.0,2017.0,22.0
106,Seoyeon,Kim Minju,김민주,서연,1995-11-26,Favorite,2017-07-05,Astory,South Korea,N/A,N/A,N/A,Gwacheon,N/A,N/A,F,1995.0,2017.0,22.0
107,Sugyeong,Jo Sugyeong,조수경,수경,2000-01-12,Favorite,2017-07-05,Astory,South Korea,N/A,N/A,N/A,Haenam,N/A,N/A,F,2000.0,2017.0,17.0
108,B.S,Lee Youngsoo,이영수,비에스,1995-04-14,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1995.0,2017.0,22.0
109,Dohyuk,Kim Dohyuk,김도혁,도혁,1998-01-16,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2017.0,19.0
110,E.sol,Jeon Jaehyuk,전재혁,이솔,1992-09-17,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1992.0,2017.0,25.0
111,Eunjae,Kwak Eunjae,곽은재,은재,1996-05-02,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2017.0,21.0
112,Gohyeon,Go Hyeon,고현,고현,1994-10-01,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1994.0,2017.0,23.0
113,Gun,Kwak Gun,곽건,건,2001-09-29,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2017.0,16.0
114,Gyeongtae,Kwon Gyeongtae,권경태,경태,2000-07-23,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2000.0,2017.0,17.0
115,Hyunwoong,Kim Hyunwoong,김현웅,현웅,1998-02-08,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1998.0,2017.0,19.0
116,Loudi,Won Jihoon,원지훈,로우디,1996-04-13,14U,2017-04-17,BG,Indonesia,South Korea| China,N/A,N/A,N/A,N/A,N/A,M,1996.0,2017.0,21.0
117,Luha,Lee Gyeonghun,이경훈,루하,1993-02-15,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1993.0,2017.0,24.0
118,Rio,Son Gwanghyuk,손광혁,리오,1999-07-16,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
119,Sejin,Lee Sejin,이세진,세진,1999-07-22,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
120,Woojoo,Kim Sangyoon,김상윤,우주,1996-09-18,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1996.0,2017.0,21.0
121,Youngwoong,Cho Youngwoon,조영웅,영웅,1999-05-01,14U,2017-04-17,BG,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,1999.0,2017.0,18.0
122,Steven,Kim Steven,킴 스티븐,스티븐,2000-01-17,Luminous,2021-09-09,Barunson,South Korea,Australia,176.0,57.0,Sydney,N/A,N/A,M,2000.0,2021.0,21.0
123,Suil,Ma Suil,마수일,수일,1999-03-30,Luminous,2021-09-09,Barunson,South Korea,N/A,170.0,50.0,Gwangju,N/A,N/A,M,1999.0,2021.0,22.0
124,Woobin,Jeong Woobin,정우빈,우빈,2000-04-01,Luminous,2021-09-09,Barunson,South Korea,N/A,N/A,N/A,Busan,N/A,N/A,M,2000.0,2021.0,21.0
125,Youngbin,Jeong Youngbin,정영빈,영빈,1998-10-05,Luminous,2021-09-09,Barunson,South Korea,N/A,172.0,55.0,Seongju,N/A,N/A,M,1998.0,2021.0,23.0
126,Heeseung,Lee Heeseung,이희승,희승,2001-10-15,ENHYPEN,2020-11-30,Be:lift,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2020.0,19.0
127,Jake,Shim Jaeyoon,심재윤,제이크,2002-11-15,ENHYPEN,2020-11-30,Be:lift,South Korea,Australia,N/A,N/A,N/A,N/A,N/A,M,2002.0,2020.0,18.0
128,Jay,Park Jongsung,박종성,제이,2002-04-20,ENHYPEN,2020-11-30,Be:lift,South Korea,United States,N/A,N/A,N/A,N/A,N/A,M,2002.0,2020.0,18.0
129,Jungwon,Yang Jungwon,양정원,정원,2004-02-09,ENHYPEN,2020-11-30,Be:lift,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2004.0,2020.0,16.0
130,Ni-Ki,Nishimura Riki,니시무라 리키,니키,2005-12-09,ENHYPEN,2020-11-30,Be:lift,Japan,N/A,N/A,N/A,N/A,N/A,N/A,M,2005.0,2020.0,15.0
131,Sunghoon,Park Sunghoon,박성훈,성훈,2002-12-08,ENHYPEN,2020-11-30,Be:lift,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2002.0,2020.0,18.0
132,Sunoo,Kim Sunwoo,김선우,선우,2003-06-24,ENHYPEN,2020-11-30,Be:lift,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2003.0,2020.0,17.0
133,Byeongkwan,Kim Byeongkwan,김병관,병관,1996-08-13,A.C.E,2017-05-23,Beat,South Korea,N/A,N/A,N/A,Seoul,N/A,N/A,M,1996.0,2017.0,21.0
134,Chan,Kang Yoochan,강유찬,찬,1997-12-31,A.C.E,2017-05-23,Beat,South Korea,N/A,N/A,N/A,Jeju,UNB,N/A,M,1997.0,2017.0,20.0
135,Donghun,Lee Donghun,이동훈,동훈,1993-05-15,A.C.E,2017-05-23,Beat,South Korea,N/A,N/A,N/A,Suncheon,N/A,N/A,M,1993.0,2017.0,24.0
136,Jun,Park Junhee,박준희,준,1994-06-02,A.C.E,2017-05-23,Beat,South Korea,N/A,N/A,N/A,Jeolla,N/A,N/A,M,1994.0,2017.0,23.0
137,Wow,Kim Seyoon,김세윤,와우,1993-02-28,A.C.E,2017-05-23,Beat,South Korea,N/A,N/A,N/A,Gyeonggi,N/A,N/A,M,1993.0,2017.0,24.0
138,J-Hope,Jung Hoseok,정호석,제이홉,1994-02-18,BTS,2013-06-13,Big Hit,South Korea,N/A,177.0,65.0,Gwangju,N/A,N/A,M,1994.0,2013.0,19.0
139,Jimin,Park Jimin,박지민,지민,1995-10-13,BTS,2013-06-13,Big Hit,South Korea,N/A,175.0,61.0,Busan,N/A,N/A,M,1995.0,2013.0,18.0
140,Jin,Kim Seokjin,김석진,진,1992-12-04,BTS,2013-06-13,Big Hit,South Korea,N/A,179.0,63.0,Gwacheon,N/A,N/A,M,1992.0,2013.0,21.0
141,Jungkook,Jeon Jungkook,전정국,정국,1997-09-01,BTS,2013-06-13,Big Hit,South Korea,N/A,178.0,66.0,Busan,N/A,N/A,M,1997.0,2013.0,16.0
142,RM,Kim Namjoon,김남준,알엠,1994-09-12,BTS,2013-06-13,Big Hit,South Korea,N/A,181.0,67.0,Ilsan,N/A,N/A,M,1994.0,2013.0,19.0
143,Suga,Min Yoongi,민윤기,슈가,1993-03-09,BTS,2013-06-13,Big Hit,South Korea,N/A,176.0,59.0,Daegu,N/A,N/A,M,1993.0,2013.0,20.0
144,V,Kim Taehyung,김태형,뷔,1995-12-30,BTS,2013-06-13,Big Hit,South Korea,N/A,179.0,62.0,Daegu,N/A,N/A,M,1995.0,2013.0,18.0
145,Beomgyu,Choi Beomgyu,최범규,범규,2001-03-13,TXT,2019-03-04,Big Hit,South Korea,N/A,N/A,N/A,N/A,N/A,N/A,M,2001.0,2019.0,18.0
