doi,title,author,year,abstract,type
10.1089/neu.2015.4040,Multidimensional Neuropathic Pain Phenotypes after Spinal Cord Injury,Eva Widerström-Noga; Elizabeth R. Felix; James P. Adcock; Maydelis Escalona; Jacqueline Tibbett,2016,"<jats:p>Identifying clinical neuropathic pain phenotypes is a first step to better understand the underlying pain mechanisms after spinal cord injury (SCI). The primary purpose of the present study was to characterize multidimensional neuropathic pain phenotypes based on quantitative sensory testing (QST), pain intensity, and utilization of catastrophizing coping strategies. Thermal perception, thermal pain, and vibratory perception thresholds were assessed above and below the level of injury (LOI) in 101 persons with SCI and neuropathic pain, 18 persons with SCI and no neuropathic pain, and 50 able-bodied, pain-free controls. Cluster analysis of QST z-scores below the LOI, pain intensity ratings, and the Coping Strategies Questionnaire (CSQ) catastrophizing subscale scores in subjects with neuropathic pain resulted in two phenotypes: severe neuropathic pain (SNP) with greater pain intensity (7.39 ± 1.57) and thermal and vibratory sensitivity compared with the moderate neuropathic pain (MNP; 5.40 ± 1.43). A factor analysis including all CSQ subscales, the Neuropathic Pain Symptom Inventory (NPSI) total score, and thermal pain sensitivity above and below the LOI resulted in three factors: (1) adaptive pain coping including increasing activities, diverting attention, and reinterpreting pain sensations; (2) catastrophizing, neuropathic pain, and thermal sensitivity including greater NPSI total score, thermal pain sensitivity below the LOI, and catastrophizing; and (3) general pain sensitivity including greater thermal pain sensitivity above the LOI and lower catastrophizing. Our results suggest that neuropathic pain symptom severity post-SCI is significantly associated with residual spinothalamic tract function below the LOI and catastrophizing pain coping.</jats:p>",journal-article
10.1016/j.pain.2010.12.030,Central poststroke pain: A population-based study,Henriette Klit; Nanna Brix Finnerup; Grethe Andersen; Troels Staehelin Jensen,2011,,journal-article
10.1097/j.pain.0000000000002740,Central sensitization: clinical utility of a physiological concept for the International Statistical Classification of Diseases and Related Health Problems and for nociplastic pain,Rolf-Detlef Treede; Ulrich Hoheisel; Dan Wang; Walter Magerl,2022,,journal-article
10.1038/nrdp.2017.2,Neuropathic pain,Luana Colloca; Taylor Ludman; Didier Bouhassira; Ralf Baron; Anthony H. Dickenson; David Yarnitsky; Roy Freeman; Andrea Truini; Nadine Attal; Nanna B. Finnerup; Christopher Eccleston; Eija Kalso; David L. Bennett; Robert H. Dworkin; Srinivasa N. Raja,2017,,journal-article
10.1016/s1474-4422(21)00252-0,"Global, regional, and national burden of stroke and its risk factors, 1990–2019: a systematic analysis for the Global Burden of Disease Study 2019",Valery L Feigin; Benjamin A Stark; Catherine Owens Johnson; Gregory A Roth; Catherine Bisignano; Gdiom Gebreheat Abady; Mitra Abbasifard; Mohsen Abbasi-Kangevari; Foad Abd-Allah; Vida Abedi; Ahmed Abualhasan; Niveen ME Abu-Rmeileh; Abdelrahman I Abushouk; Oladimeji M Adebayo; Gina Agarwal; Pradyumna Agasthi; Bright Opoku Ahinkorah; Sohail Ahmad; Sepideh Ahmadi; Yusra Ahmed Salih; Budi Aji; Samaneh Akbarpour; Rufus Olusola Akinyemi; Hanadi Al Hamad; Fares Alahdab; Sheikh Mohammad Alif; Vahid Alipour; Syed Mohamed Aljunid; Sami Almustanyir; Rajaa M Al-Raddadi; Rustam Al-Shahi Salman; Nelson Alvis-Guzman; Robert Ancuceanu; Deanna Anderlini; Jason A Anderson; Adnan Ansar; Ippazio Cosimo Antonazzo; Jalal Arabloo; Johan Ärnlöv; Kurnia Dwi Artanti; Zahra Aryan; Samaneh Asgari; Tahira Ashraf; Mohammad Athar; Alok Atreya; Marcel Ausloos; Atif Amin Baig; Ovidiu Constantin Baltatu; Maciej Banach; Miguel A Barboza; Suzanne Lyn Barker-Collo; Till Winfried Bärnighausen; Mark Thomaz Ugliara Barone; Sanjay Basu; Gholamreza Bazmandegan; Ettore Beghi; Mahya Beheshti; Yannick Béjot; Arielle Wilder Bell; Derrick A Bennett; Isabela M Bensenor; Woldesellassie Mequanint Bezabhe; Yihienew Mequanint Bezabih; Akshaya Srikanth Bhagavathula; Pankaj Bhardwaj; Krittika Bhattacharyya; Ali Bijani; Boris Bikbov; Mulugeta M Birhanu; Archith Boloor; Aime Bonny; Michael Brauer; Hermann Brenner; Dana Bryazka; Zahid A Butt; Florentino Luciano Caetano dos Santos; Ismael R Campos-Nonato; Carlos Cantu-Brito; Juan J Carrero; Carlos A Castañeda-Orjuela; Alberico L Catapano; Promit Ananyo Chakraborty; Jaykaran Charan; Sonali Gajanan Choudhari; Enayet Karim Chowdhury; Dinh-Toi Chu; Sheng-Chia Chung; David Colozza; Vera Marisa Costa; Simona Costanzo; Michael H Criqui; Omid Dadras; Baye Dagnew; Xiaochen Dai; Koustuv Dalal; Albertino Antonio Moura Damasceno; Emanuele D'Amico; Lalit Dandona; Rakhi Dandona; Jiregna Darega Gela; Kairat Davletov; Vanessa De la Cruz-Góngora; Rupak Desai; Deepak Dhamnetiya; Samath Dhamminda Dharmaratne; Mandira Lamichhane Dhimal; Meghnath Dhimal; Daniel Diaz; Martin Dichgans; Klara Dokova; Rajkumar Doshi; Abdel Douiri; Bruce B Duncan; Sahar Eftekharzadeh; Michael Ekholuenetale; Nevine El Nahas; Islam Y Elgendy; Muhammed Elhadi; Shaimaa I El-Jaafary; Matthias Endres; Aman Yesuf Endries; Daniel Asfaw Erku; Emerito Jose A Faraon; Umar Farooque; Farshad Farzadfar; Abdullah Hamid Feroze; Irina Filip; Florian Fischer; David Flood; Mohamed M Gad; Shilpa Gaidhane; Reza Ghanei Gheshlagh; Ahmad Ghashghaee; Nermin Ghith; Ghozali Ghozali; Sherief Ghozy; Alessandro Gialluisi; Simona Giampaoli; Syed Amir Gilani; Paramjit Singh Gill; Elena V Gnedovskaya; Mahaveer Golechha; Alessandra C Goulart; Yuming Guo; Rajeev Gupta; Veer Bala Gupta; Vivek Kumar Gupta; Pradip Gyanwali; Nima Hafezi-Nejad; Samer Hamidi; Asif Hanif; Graeme J Hankey; Arief Hargono; Abdiwahab Hashi; Treska S Hassan; Hamid Yimam Hassen; Rasmus J Havmoeller; Simon I Hay; Khezar Hayat; Mohamed I Hegazy; Claudiu Herteliu; Ramesh Holla; Sorin Hostiuc; Mowafa Househ; Junjie Huang; Ayesha Humayun; Bing-Fang Hwang; Licia Iacoviello; Ivo Iavicoli; Segun Emmanuel Ibitoye; Olayinka Stephen Ilesanmi; Irena M Ilic; Milena D Ilic; Usman Iqbal; Seyed Sina Naghibi Irvani; Sheikh Mohammed Shariful Islam; Nahlah Elkudssiah Ismail; Hiroyasu Iso; Gaetano Isola; Masao Iwagami; Louis Jacob; Vardhmaan Jain; Sung-In Jang; Sathish Kumar Jayapal; Shubha Jayaram; Ranil Jayawardena; Panniyammakal Jeemon; Ravi Prakash Jha; Walter D Johnson; Jost B Jonas; Nitin Joseph; Jacek Jerzy Jozwiak; Mikk Jürisson; Rizwan Kalani; Rohollah Kalhor; Yogeshwar Kalkonde; Ashwin Kamath; Zahra Kamiab; Tanuj Kanchan; Himal Kandel; André Karch; Patrick DMC Katoto; Gbenga A Kayode; Pedram Keshavarz; Yousef Saleh Khader; Ejaz Ahmad Khan; Imteyaz A Khan; Maseer Khan; Moien AB Khan; Mahalaqua Nazli Khatib; Jagdish Khubchandani; Gyu Ri Kim; Min Seo Kim; Yun Jin Kim; Adnan Kisa; Sezer Kisa; Mika Kivimäki; Dhaval Kolte; Ali Koolivand; Sindhura Lakshmi Koulmane Laxminarayana; Ai Koyanagi; Kewal Krishan; Vijay Krishnamoorthy; Rita V Krishnamurthi; G Anil Kumar; Dian Kusuma; Carlo La Vecchia; Ben Lacey; Hassan Mehmood Lak; Tea Lallukka; Savita Lasrado; Pablo M Lavados; Matilde Leonardi; Bingyu Li; Shanshan Li; Hualiang Lin; Ro-Ting Lin; Xuefeng Liu; Warren David Lo; Stefan Lorkowski; Giancarlo Lucchetti; Ricardo Lutzky Saute; Hassan Magdy Abd El Razek; Francesca Giulia Magnani; Preetam Bhalchandra Mahajan; Azeem Majeed; Alaa Makki; Reza Malekzadeh; Ahmad Azam Malik; Navid Manafi; Mohammad Ali Mansournia; Lorenzo Giovanni Mantovani; Santi Martini; Giampiero Mazzaglia; Man Mohan Mehndiratta; Ritesh G Menezes; Atte Meretoja; Amanual Getnet Mersha; Junmei Miao Jonasson; Bartosz Miazgowski; Tomasz Miazgowski; Irmina Maria Michalek; Erkin M Mirrakhimov; Yousef Mohammad; Abdollah Mohammadian-Hafshejani; Shafiu Mohammed; Ali H Mokdad; Yaser Mokhayeri; Mariam Molokhia; Mohammad Ali Moni; Ahmed Al Montasir; Rahmatollah Moradzadeh; Lidia Morawska; Jakub Morze; Walter Muruet; Kamarul Imran Musa; Ahamarshan Jayaraman Nagarajan; Mohsen Naghavi; Sreenivas Narasimha Swamy; Bruno Ramos Nascimento; Ruxandra Irina Negoi; Sandhya Neupane Kandel; Trang Huyen Nguyen; Bo Norrving; Jean Jacques Noubiap; Vincent Ebuka Nwatah; Bogdan Oancea; Oluwakemi Ololade Odukoya; Andrew T Olagunju; Hans Orru; Mayowa O Owolabi; Jagadish Rao Padubidri; Adrian Pana; Tarang Parekh; Eun-Cheol Park; Fatemeh Pashazadeh Kan; Mona Pathak; Mario F P Peres; Arokiasamy Perianayagam; Truong-Minh Pham; Michael A Piradov; Vivek Podder; Suzanne Polinder; Maarten J Postma; Akram Pourshams; Amir Radfar; Alireza Rafiei; Alberto Raggi; Fakher Rahim; Vafa Rahimi-Movaghar; Mosiur Rahman; Muhammad Aziz Rahman; Amir Masoud Rahmani; Nazanin Rajai; Priyanga Ranasinghe; Chythra R Rao; Sowmya J Rao; Priya Rathi; David Laith Rawaf; Salman Rawaf; Marissa B Reitsma; Vishnu Renjith; Andre M N Renzaho; Aziz Rezapour; Jefferson Antonio Buendia Rodriguez; Leonardo Roever; Michele Romoli; Andrzej Rynkiewicz; Simona Sacco; Masoumeh Sadeghi; Sahar Saeedi Moghaddam; Amirhossein Sahebkar; KM Saif-Ur-Rahman; Rehab Salah; Mehrnoosh Samaei; Abdallah M Samy; Itamar S Santos; Milena M Santric-Milicevic; Nizal Sarrafzadegan; Brijesh Sathian; Davide Sattin; Silvia Schiavolin; Markus P Schlaich; Maria Inês Schmidt; Aletta Elisabeth Schutte; Sadaf G Sepanlou; Allen Seylani; Feng Sha; Saeed Shahabi; Masood Ali Shaikh; Mohammed Shannawaz; Md Shajedur Rahman Shawon; Aziz Sheikh; Sara Sheikhbahaei; Kenji Shibuya; Soraya Siabani; Diego Augusto Santos Silva; Jasvinder A Singh; Jitendra Kumar Singh; Valentin Yurievich Skryabin; Anna Aleksandrovna Skryabina; Badr Hasan Sobaih; Stefan Stortecky; Saverio Stranges; Eyayou Girma Tadesse; Ingan Ukur Tarigan; Mohamad-Hani Temsah; Yvonne Teuschl; Amanda G Thrift; Marcello Tonelli; Marcos Roberto Tovani-Palone; Bach Xuan Tran; Manjari Tripathi; Gebiyaw Wudie Tsegaye; Anayat Ullah; Brigid Unim; Bhaskaran Unnikrishnan; Alireza Vakilian; Sahel Valadan Tahbaz; Tommi Juhani Vasankari; Narayanaswamy Venketasubramanian; Dominique Vervoort; Bay Vo; Victor Volovici; Kia Vosoughi; Giang Thu Vu; Linh Gia Vu; Hatem A Wafa; Yasir Waheed; Yanzhong Wang; Tissa Wijeratne; Andrea Sylvia Winkler; Charles D A Wolfe; Mark Woodward; Jason H Wu; Sarah Wulf Hanson; Xiaoyue Xu; Lalit Yadav; Ali Yadollahpour; Seyed Hossein Yahyazadeh Jabbari; Kazumasa Yamagishi; Hiroshi Yatsuya; Naohiro Yonemoto; Chuanhua Yu; Ismaeel Yunusa; Muhammed Shahriar Zaman; Sojib Bin Zaman; Maryam Zamanian; Ramin Zand; Alireza Zandifar; Mikhail Sergeevich Zastrozhin; Anasthasia Zastrozhina; Yunquan Zhang; Zhi-Jiang Zhang; Chenwen Zhong; Yves Miel H Zuniga; Christopher J L Murray,2021,,journal-article
10.1016/j.mayocp.2016.01.017,Central Neuropathic Pain Syndromes,James C. Watson; Paola Sandroni,2016,,journal-article
10.1007/s12325-020-01388-w,Prevalence and Management Challenges in Central Post-Stroke Neuropathic Pain: A Systematic Review and Meta-analysis,Andreas Liampas; Nikolaos Velidakis; Tiffany Georgiou; Athina Vadalouca; Giustino Varrassi; Georgios M. Hadjigeorgiou; Georgios Tsivgoulis; Panagiotis Zis,2020,,journal-article
10.1093/brain/awv389,Thalamic pain: anatomical and physiological indices of prediction,Nuutti Vartiainen; Caroline Perchet; Michel Magnin; Christelle Creac’h; Philippe Convers; Norbert Nighoghossian; François Mauguière; Roland Peyron; Luis Garcia-Larrea,2016,,journal-article
10.1002/ejp.905,Neuropathic pain prevalence following spinal cord injury: A systematic review and meta‐analysis,D. Burke; B.M. Fullen; D. Stokes; O. Lennon,2016,"<jats:title>Abstract</jats:title>
                  <jats:sec>
                    <jats:label/>
                    <jats:p>
                      Following spinal cord injury (
                      <jats:styled-content style=""fixed-case"">SCI</jats:styled-content>
                      ), chronic pain is a common secondary complication with neuropathic pain (
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      ) cited as one of the most distressing and debilitating conditions leading to poor quality of life, depression and sleep disturbances. Neuropathic pain presenting at or below the level of injury is largely refractory to current pharmacological and physical treatments. No consensus on the prevalence of
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      post
                      <jats:styled-content style=""fixed-case"">SCI</jats:styled-content>
                      currently exists, hence this systematic review was undertaken. The review comprised three phases: a methodological assessment of databases [PubMed, Embase, Web of Knowledge, Cumulative Index to Nursing and Allied Health Literature (
                      <jats:styled-content style=""fixed-case"">CINAHL</jats:styled-content>
                      ), Cochrane Library and Physiotherapy Evidence Database (
                      <jats:styled-content style=""fixed-case"">PED</jats:styled-content>
                      ro)] identifying potential papers and screening for inclusion criteria by two independent reviewers; data extraction; and finally rating of internal validity and strength of the evidence, using a published valid and reliable scale. Meta‐analysis estimated pooled point prevalence rates using a random effects model. In total, 17 studies involving 2529 patients were included in the review. Overall point prevalence rates for
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      were established at 53% (38.58–67.47); 19% (13.26–26.39) for at‐level
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      and 27% (19.89–34.61) for below‐level
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      , with high heterogeneity noted (
                      <jats:italic>I</jats:italic>
                      <jats:sup>2</jats:sup>
                       = 84–93%). Prevalence rates for
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      following
                      <jats:styled-content style=""fixed-case"">SCI</jats:styled-content>
                      are high. Future studies should include established definitions, classification systems and assessment tools for
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      at defined time points post
                      <jats:styled-content style=""fixed-case"">SCI</jats:styled-content>
                      to follow the trajectory of this problem across the lifespan and include indices of sleep, mood and interference to allow for appropriate, optimal and timely
                      <jats:styled-content style=""fixed-case"">NP</jats:styled-content>
                      management for each patient.
                    </jats:p>
                  </jats:sec>
                  <jats:sec>
                    <jats:title>What does this review add?</jats:title>
                    <jats:p>This is the first systematic review and meta‐analysis to record pooled point prevalence of neuropathic pain post spinal cord injury at 53%. Additional pooled analysis shows that neuropathic pain is more common below the level of lesion, in patients with tetraplegia, older patients and at 1 year post injury.</jats:p>
                  </jats:sec>",journal-article
10.3389/fpain.2022.947562,Multidimensional pain phenotypes after Traumatic Brain Injury,Linda E. Robayo; Varan Govind; Roberta Vastano; Elizabeth R. Felix; Loriann Fleming; Nicholas P. Cherup; Eva Widerström-Noga,2022,"<jats:p>More than 50% of individuals develop chronic pain following traumatic brain injury (TBI). Research suggests that a significant portion of post-TBI chronic pain conditions is neuropathic in nature, yet the relationship between neuropathic pain, psychological distress, and somatosensory function following TBI is not fully understood. This study evaluated neuropathic pain symptoms, psychological and somatosensory function, and psychosocial factors in individuals with TBI (TBI, <jats:italic>N</jats:italic> = 38). A two-step cluster analysis was used to identify phenotypes based on the Neuropathic Pain Symptom Inventory and Beck's Anxiety Inventory scores. Phenotypes were then compared on pain characteristics, psychological and somatosensory function, and psychosocial factors. Our analyses resulted in two different neuropathic pain phenotypes: (1) Moderate neuropathic pain severity and anxiety scores (MNP-AS, <jats:italic>N</jats:italic> = 11); and (2) mild or no neuropathic pain symptoms and anxiety scores (LNP-AS, <jats:italic>N</jats:italic> = 27). Furthermore, the MNP-AS group exhibited greater depression, PTSD, pain severity, and affective distress scores than the LNP-AS group. In addition, thermal somatosensory function (difference between thermal pain and perception thresholds) was significantly lower in the MNP-AS compared to the LNP-AS group. Our findings suggest that neuropathic pain symptoms are relatively common after TBI and are not only associated with greater psychosocial distress but also with abnormal function of central pain processing pathways.</jats:p>",journal-article
