category,type,item,link
desktop,communication,File Transfer (FileZilla),
desktop,communication,Remote Desktop (AnyDesk),
desktop,utility,App Launcher (Alfred),
desktop,utility,Clipboard Manager (CopyClip),
desktop,utility,Window Manager (Rectangle),
desktop,utility,File Manager (Finder),
desktop,utility,Archive Tool (The Unarchiver),
desktop,utility,System Monitor (iStat Menus),
desktop,utility,Password Manager (1Password),
desktop,utility,Menu Bar Manager (Bartender),
desktop,utility,Screenshot Editor (CleanShot),
desktop,utility,Color Picker (Sip),
game,puzzle,Block Puzzle Game (Tetris),
game,puzzle,Portal Clone (Portal),
game,puzzle,Time Manipulation (Braid),
game,puzzle,Perspective Puzzle (Fez),
game,puzzle,Logic Puzzle (Baba Is You),
game,puzzle,Visual Mystery (The Witness),
game,puzzle,Architecture Puzzle (Monument Valley),
game,puzzle,Atmospheric Puzzle (Limbo),
game,puzzle,Dark Puzzle Platformer (Inside),
game,puzzle,Shape Metamorphosis (Cocoon),
game,platformer,Side-Scroller (Mario),
game,platformer,Speed Runner (Sonic),
game,platformer,Precision Platformer (Celeste),
game,platformer,Metroidvania (Hollow Knight),
game,platformer,Cinematic Platformer (Ori),
game,platformer,Action Platformer (Shovel Knight),
game,platformer,Hardcore Platformer (Super Meat Boy),
game,platformer,Boss Rush (Cuphead),
game,platformer,Classic Platformer (Rayman),
game,platformer,Collectathon (Crash Bandicoot),
game,rpg,Turn-based RPG (Final Fantasy),
game,rpg,Action RPG (The Witcher),
game,rpg,Open World RPG (Skyrim),
game,rpg,Souls-like (Dark Souls),
game,rpg,Tactical RPG (Baldur's Gate),
game,rpg,Time Travel RPG (Chrono Trigger),
game,rpg,Dungeon Crawler (Diablo),
game,rpg,Japanese RPG (Dragon Quest),
game,rpg,Sci-fi RPG (Mass Effect),
game,rpg,Post-apocalyptic RPG (Fallout),
game,shooter,First-person Shooter (Doom),
game,shooter,Arena Shooter (Quake),
game,shooter,Story-driven Shooter (Half-Life),
game,shooter,Military Shooter (Call of Duty),
game,shooter,Sci-fi Shooter (Halo),
game,shooter,Hero Shooter (Overwatch),
game,shooter,Tactical Shooter (Counter-Strike),
game,shooter,Competitive Shooter (Valorant),
game,shooter,Battle Royale (Fortnite),
game,shooter,Legend Shooter (Apex Legends),
game,strategy,Real-time Strategy (StarCraft),
game,strategy,Historical RTS (Age of Empires),
game,strategy,Turn-based Strategy (Civilization),
game,strategy,Factory Automation (Factorio),
game,strategy,Colony Sim (Dwarf Fortress),
game,strategy,City Builder (SimCity),
game,strategy,Grand Strategy (Europa Universalis),
game,strategy,Tactics Game (Total War),
game,strategy,Squad Tactics (XCOM),
game,strategy,Survival Colony (RimWorld),
game,simulation,Life Simulator (The Sims),
game,simulation,Sandbox Builder (Minecraft),
game,simulation,Adventure Builder (Terraria),
game,simulation,Farming RPG (Stardew Valley),
game,simulation,Vehicle Simulator (Euro Truck),
game,simulation,Flight Simulator (Flight Simulator),
game,simulation,Space Program (Kerbal Space Program),
game,simulation,Theme Park Builder (RollerCoaster Tycoon),
game,simulation,Life Simulation (Animal Crossing),
game,simulation,Park Builder (Planet Coaster),
cli,dev-tool,Package Manager (npm),
cli,dev-tool,Build Tool (cargo),
cli,dev-tool,Container Runtime (docker),
cli,dev-tool,Orchestration Tool (kubectl),
cli,dev-tool,CLI Client (gh),
cli,dev-tool,Python Package Manager (uv),
cli,dev-tool,JavaScript Runtime (bun),
cli,dev-tool,Go Toolchain (go),
cli,dev-tool,Homebrew Package Manager (brew),
cli,dev-tool,Secrets Manager (sops),
cli,automation,Config Management (Ansible),
cli,automation,Infrastructure as Code (Pulumi),
cli,automation,Cloud Control Plane (Crossplane),
cli,automation,Task Runner (Task),
cli,automation,Command Runner (Just),
cli,automation,Build Automation (Make),
cli,automation,Build System (Cmake),
cli,automation,Build Tool (Bazel),
cli,automation,Package Manager (Nix),
cli,automation,Build Framework (Earthly),
cli,monitoring,Process Viewer (htop),
cli,monitoring,System Monitor (btop),
cli,monitoring,System Glance (glances),
cli,monitoring,System Info (neofetch),
cli,monitoring,Disk Usage (duf),
cli,monitoring,Disk Analyzer (dust),
cli,monitoring,Disk Usage Tracker (ncdu),
cli,monitoring,Process Manager (procs),
cli,monitoring,System Dashboard (bottom),
cli,monitoring,Terminal Dashboard (ytop),
cli,text,Search Tool (ripgrep),
cli,text,File Finder (fd),
cli,text,File Viewer (bat),
cli,text,Fuzzy Finder (fzf),
cli,text,JSON Processor (jq),
cli,text,YAML Processor (yq),
cli,text,Find & Replace (sd),
cli,text,Regex Generator (grex),
cli,text,Diff Viewer (difftastic),
cli,text,Column Selector (choose),
cli,network,HTTP Client (curl),
cli,network,Download Tool (wget),
cli,network,Port Scanner (nmap),
cli,network,Network Connector (netcat),
cli,network,Network Benchmark (iperf),
cli,network,Network Diagnostic (mtr),
cli,network,DNS Lookup (dog),
cli,network,HTTPie Client (httpie),
cli,network,DNS Resolver (drill),
cli,network,Traceroute Tool (trippy),
cli,file,Disk Usage Reporter (du),
cli,file,Disk Free Reporter (df),
cli,file,Archive Tool (tar),
cli,file,Remote Sync (rsync),
cli,file,Cloud Sync (rclone),
cli,file,Backup Tool (restic),
cli,file,Deduplicating Backup (borg),
cli,file,Encrypted Backup (kopia),
cli,file,Duplicacy Backup (duplicati),
cli,file,Encryption Tool (age),
data-science,analysis,Notebook Environment (Jupyter),
data-science,analysis,Statistical Computing (RStudio),
data-science,analysis,Reactive Notebook (Observable),
data-science,analysis,Collaborative Notebook (Hex),
data-science,analysis,Team Notebook (Deepnote),
data-science,analysis,Competition Platform (Kaggle),
data-science,analysis,Cloud Notebook (Colab),
data-science,analysis,Unified Analytics (Databricks),
data-science,analysis,ML Platform (SageMaker),
data-science,analysis,AI Studio (Watson Studio),
data-science,pipeline,Workflow Orchestrator (Airflow),
data-science,pipeline,Python Pipeline (Prefect),
data-science,pipeline,Data Pipeline (Dagster),
data-science,pipeline,ML Platform (Kubeflow),
data-science,pipeline,Experiment Tracking (MLflow),
data-science,pipeline,Production Pipeline (TFX),
data-science,pipeline,MLOps Framework (ZenML),
data-science,pipeline,Cloud Orchestrator (Flyte),
data-science,pipeline,Event-driven Pipeline (Kestra),
data-science,pipeline,Batch Processor (Luigi),
data-science,viz,Business Intelligence (Tableau),
data-science,viz,BI Platform (Power BI),
data-science,viz,Data Explorer (Looker),
data-science,viz,Open-source BI (Metabase),
data-science,viz,Dashboard Builder (Superset),
data-science,viz,Python Charting (Plotly),
data-science,viz,Interactive Visualization (D3.js),
data-science,viz,Statistical Plots (Bokeh),
data-science,viz,Declarative Charts (Altair),
data-science,viz,Graphics Grammar (Vega),
data-science,ml,Deep Learning Framework (PyTorch),
data-science,ml,ML Framework (TensorFlow),
data-science,ml,Classic ML (Scikit-learn),
data-science,ml,Gradient Boosting (XGBoost),
data-science,ml,Fast Boosting (LightGBM),
data-science,ml,Categorical Boosting (CatBoost),
data-science,ml,Differentiable Computing (JAX),
data-science,ml,NLP Library (Hugging Face),
data-science,ml,LLM Framework (LangChain),
data-science,ml,NLP Toolkit (SpaCy),
data-science,database,Relational Database (PostgreSQL),
data-science,database,Embedded Analytics (DuckDB),
data-science,database,Column Store (ClickHouse),
data-science,database,Cloud Warehouse (Snowflake),
data-science,database,Big Data Query (BigQuery),
data-science,database,Data Warehouse (Redshift),
data-science,database,Lakehouse Platform (Databricks),
data-science,database,Serverless Analytics (MotherDuck),
data-science,database,Real-time Analytics (Pinot),
data-science,database,Distributed OLAP (Druid),
data-science,etl,Data Transformation (dbt),
data-science,etl,Distributed Processing (Spark),
data-science,etl,Stream Processing (Flink),
data-science,etl,Event Streaming (Kafka),
data-science,etl,Data Flow Automation (NiFi),
data-science,etl,Data Integration (Airbyte),
data-science,etl,Cloud ETL (Fivetran),
data-science,etl,Data Pipeline Tool (Stitch),
data-science,etl,Open-source Data Platform (Meltano),
data-science,etl,Data Extraction (Singer),
