sport,competition_area,competition,award,season,name,dob,height,position,team,country,country_continent,country_former,goals,peak_rating,peak_year,world_classical,world_rapid,world_blitz,world_fisher
Football,English,Premier League,Top Scorer,1997/1998,Dion Dublin,,,,Coventry City,England,Europe,,18,,,,,,
Football,English,Premier League,Top Scorer,1997/1998,Michael Owen,,,,Liverpool,England,Europe,,18,,,,,,
Football,English,Premier League,Top Scorer,1997/1998,Chris Sutton,,,,Blackburn Rovers,England,Europe,,18,,,,,,
Football,English,Premier League,Top Scorer,1998/1999,Jimmy Floyd Hasselbaink,,,,Leeds United,Netherlands,Europe,,18,,,,,,
Football,English,Premier League,Top Scorer,1998/1999,Michael Owen,,,,Liverpool,England,Europe,,18,,,,,,
Football,English,Premier League,Top Scorer,1998/1999,Dwight Yorke,,,,Manchester United,Trinidad and Tobago,North America,,18,,,,,,
Football,English,Premier League,Top Scorer,1999/2000,Kevin Phillips,,,,Sunderland,England,Europe,,30,,,,,,
Football,English,Premier League,Top Scorer,2000/2001,Jimmy Floyd Hasselbaink,,,,Chelsea,Netherlands,Europe,,23,,,,,,
Football,English,Premier League,Top Scorer,2001/2002,Thierry Henry,,,,Arsenal,France,Europe,,24,,,,,,
Football,English,Premier League,Top Scorer,2002/2003,Ruud van Nistelrooy,,,,Manchester United,Netherlands,Europe,,25,,,,,,
Football,English,Premier League,Top Scorer,2003/2004,Thierry Henry,,,,Arsenal,France,Europe,,30,,,,,,
Football,English,Premier League,Top Scorer,2004/2005,Thierry Henry,,,,Arsenal,France,Europe,,25,,,,,,
Football,English,Premier League,Top Scorer,2005/2006,Thierry Henry,,,,Arsenal,France,Europe,,27,,,,,,
Football,English,Premier League,Top Scorer,2006/2007,Didier Drogba,,,,Chelsea,Ivory Coast,Africa,,20,,,,,,
Football,English,Premier League,Top Scorer,2007/2008,Cristiano Ronaldo,,,,Manchester United,Portugal,Europe,,31,,,,,,
Football,English,Premier League,Top Scorer,2008/2009,Nicolas Anelka,,,,Chelsea,France,Europe,,19,,,,,,
Football,English,Premier League,Top Scorer,2009/2010,Didier Drogba,,,,Chelsea,Ivory Coast,Africa,,29,,,,,,
Football,English,Premier League,Top Scorer,2010/2011,Dimitar Berbatov,,,,Manchester United,Bulgaria,Europe,,20,,,,,,
Football,English,Premier League,Top Scorer,2010/2011,Carlos Tevez,,,,Manchester City,Argentina,South America,,20,,,,,,
Football,English,Premier League,Top Scorer,2011/2012,Robin Van Persie,,,,Arsenal,Netherlands,Europe,,30,,,,,,
Football,English,Premier League,Top Scorer,2012/2013,Robin Van Persie,,,,Manchester United,Netherlands,Europe,,26,,,,,,
Football,English,Premier League,Top Scorer,2013/2014,Luis Suárez,,,,Liverpool,Uruguay,South America,,31,,,,,,
Football,English,Premier League,Top Scorer,2014/2015,Sergio Agüero,,,,Manchester City,Argentina,South America,,26,,,,,,
Football,English,Premier League,Top Scorer,2015/2016,Harry Kane,,,,Tottenham Hotspur,England,Europe,,25,,,,,,
Football,English,Premier League,Top Scorer,2016/2017,Harry Kane,,,,Tottenham Hotspur,England,Europe,,29,,,,,,
Football,English,Premier League,Top Scorer,2017/2018,Mohamed Salah,,,,Liverpool,Egypt,Africa,,32,,,,,,
Football,English,Premier League,Top Scorer,2018/2019,Mohamed Salah,,,,Liverpool,Egypt,Africa,,22,,,,,,
Football,English,Premier League,Top Scorer,2018/2019,Sadio Mané,,,,Liverpool,Senegal,Africa,,22,,,,,,
Football,English,Premier League,Top Scorer,2018/2019,Pierre-Emerick Aubameyang,,,,Arsenal,Gabon,Africa,,22,,,,,,
Football,English,Premier League,Top Scorer,2019/2020,Jamie Vardy,,,,Leicester City,England,Europe,,23,,,,,,
Football,English,Premier League,Top Scorer,2020/2021,Harry Kane,,,,Tottenham Hotspur,England,Europe,,23,,,,,,
Football,English,Premier League,Top Scorer,2021/2022,Mohamed Salah,,,,Liverpool,Egypt,Africa,,23,,,,,,
Football,English,Premier League,Top Scorer,2021/2022,Son Heung-min,,,,Tottenham Hotspur,South Korea,Asia,,23,,,,,,
Football,English,Premier League,Best Player,1994/1995,Alan Shearer,,,Forward,Blackburn Rovers,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,1995/1996,Peter Schmeichel,,,Goalkeeper,Manchester United,Denmark,Europe,,,,,,,,
Football,English,Premier League,Best Player,1996/1997,Juninho,,,Midfielder,Middlesbrough,Brazil,South America,,,,,,,,
Football,English,Premier League,Best Player,1997/1998,Michael Owen,,,Forward,Liverpool,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,1998/1999,Dwight Yorke,,,Forward,Manchester United,Trinidad and Tobago,North America,,,,,,,,
Football,English,Premier League,Best Player,1999/2000,Kevin Phillips,,,Forward,Sunderland,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,2000/2001,Patrick Vieira,,,Midfielder,Arsenal,France,Europe,,,,,,,,
Football,English,Premier League,Best Player,2001/2002,Freddie Ljungberg,,,Midfielder,Arsenal,Sweden,Europe,,,,,,,,
Football,English,Premier League,Best Player,2002/2003,Ruud van Nistelrooy,,,Forward,Manchester United,Netherlands,Europe,,,,,,,,
Football,English,Premier League,Best Player,2003/2004,Thierry Henry,,,Forward,Arsenal,France,Europe,,,,,,,,
Football,English,Premier League,Best Player,2004/2005,Frank Lampard,,,Midfielder,Chelsea,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,2005/2006,Thierry Henry,,,Forward,Arsenal,France,Europe,,,,,,,,
Football,English,Premier League,Best Player,2006/2007,Cristiano Ronaldo,,,Forward,Manchester United,Portugal,Europe,,,,,,,,
Football,English,Premier League,Best Player,2007/2008,Cristiano Ronaldo,,,Forward,Manchester United,Portugal,Europe,,,,,,,,
Football,English,Premier League,Best Player,2008/2009,Nemanja Vidić,,,Defender,Manchester United,Serbia,Europe,,,,,,,,
Football,English,Premier League,Best Player,2009/2010,Wayne Rooney,,,Forward,Manchester United,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,2010/2011,Nemanja Vidić,,,Defender,Manchester United,Serbia,Europe,,,,,,,,
Football,English,Premier League,Best Player,2011/2012,Vincent Kompany,,,Defender,Manchester City,Belgium,Europe,,,,,,,,
Football,English,Premier League,Best Player,2012/2013,Gareth Bale,,,Midfielder,Tottenham Hotspur,Wales,Europe,,,,,,,,
Football,English,Premier League,Best Player,2013/2014,Luis Suárez,,,Forward,Liverpool,Uruguay,South America,,,,,,,,
Football,English,Premier League,Best Player,2014/2015,Eden Hazard,,,Midfielder,Chelsea,Belgium,Europe,,,,,,,,
Football,English,Premier League,Best Player,2015/2016,Jamie Vardy,,,Midfielder,Leicester City,England,Europe,,,,,,,,
Football,English,Premier League,Best Player,2016/2017,N'Golo Kanté,,,Midfielder,Chelsea,France,Europe,,,,,,,,
Football,English,Premier League,Best Player,2017/2018,Mohamed Salah,,,Forward,Liverpool,Egypt,Africa,,,,,,,,
Football,English,Premier League,Best Player,2018/2019,Virgil van Dijk,,,Defender,Liverpool,Netherlands,Europe,,,,,,,,
Football,English,Premier League,Best Player,2019/2020,Kevin De Bruyne,,,Midfielder,Manchester City,Belgium,Europe,,,,,,,,
Football,English,Premier League,Best Player,2020/2021,Rúben Dias,,,Defender,Manchester City,Portugal,Europe,,,,,,,,
Football,English,Premier League,Best Player,2021/2022,Kevin De Bruyne,,,Midfielder,Manchester City,Belgium,Europe,,,,,,,,
Football,English,Premier League,top-goalkeeper,2004/2005,Petr Čech,,,Goalkeeper,Chelsea,Czech Republic,,,24,,,,,,
Football,English,Premier League,top-goalkeeper,2005/2006,Pepe Reina,,,Goalkeeper,Liverpool,Spain,,,20,,,,,,
Football,English,Premier League,top-goalkeeper,2006/2007,Pepe Reina,,,Goalkeeper,Liverpool,Spain,,,19,,,,,,
Football,English,Premier League,top-goalkeeper,2007/2008,Pepe Reina,,,Goalkeeper,Liverpool,Spain,,,18,,,,,,
Football,English,Premier League,top-goalkeeper,2008/2009,Edwin van der Sar,,,Goalkeeper,Manchester United,Netherlands,,,21,,,,,,
Football,English,Premier League,top-goalkeeper,2009/2010,Petr Čech,,,Goalkeeper,Chelsea,Czech Republic,,,17,,,,,,
Football,English,Premier League,top-goalkeeper,2010/2011,Joe Hart,,,Goalkeeper,Manchester City,England,,,18,,,,,,
Football,English,Premier League,top-goalkeeper,2011/2012,Joe Hart,,,Goalkeeper,Manchester City,England,,,17,,,,,,
Football,English,Premier League,top-goalkeeper,2012/2013,Joe Hart,,,Goalkeeper,Manchester City,England,,,18,,,,,,
Football,English,Premier League,top-goalkeeper,2013/2014,Petr Čech,,,Goalkeeper,Chelsea,Czech Republic,,,16,,,,,,
Football,English,Premier League,top-goalkeeper,2013/2014,Wojciech Szczęsny,,,Goalkeeper,Arsenal,Poland,,,16,,,,,,
Football,English,Premier League,top-goalkeeper,2014/2015,Joe Hart,,,Goalkeeper,Manchester City,England,,,14,,,,,,
Football,English,Premier League,top-goalkeeper,2015/2016,Petr Čech,,,Goalkeeper,Arsenal,Czech Republic,,,16,,,,,,
Football,English,Premier League,top-goalkeeper,2016/2017,Thibaut Courtois,,,Goalkeeper,Chelsea,Belgium,,,16,,,,,,
Football,English,Premier League,top-goalkeeper,2017/2018,David de Gea,,,Goalkeeper,Manchester United,Spain,,,18,,,,,,
Football,English,Premier League,top-goalkeeper,2018/2019,Alisson,,,Goalkeeper,Liverpool,Brazil,,,21,,,,,,
Football,English,Premier League,top-goalkeeper,2019/2020,Ederson,,,Goalkeeper,Manchester City,Brazil,,,16,,,,,,
Football,English,Premier League,top-goalkeeper,2020/2021,Ederson,,,Goalkeeper,Manchester City,Brazil,,,19,,,,,,
Football,English,Premier League,top-goalkeeper,2021/2022,Alisson,,,Goalkeeper,Liverpool,Brazil,,,20,,,,,,
Football,English,Premier League,top-goalkeeper,2021/2022,Ederson,,,Goalkeeper,Manchester City,Brazil,,,20,,,,,,
Football,English,Premier League,top-goalkeeper,2022/2023,David de Gea,,,Goalkeeper,Manchester United,Spain,,,17,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1956-57,Coen Dillen,,,,,,,,43,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1957-58,Leo Canjels,,,,,,,,32,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1958-59,Leo Canjels,,,,,,,,34,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1959-60,Henk Groot,,,,,,,,38,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1960-61,Henk Groot,,,,,,,,41,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1961-62,Dick Tol,,,,,,,,27,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1962-63,Pierre Kerkhofs,,,,,,,,22,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1963-64,Frans Geurtsen,,,,,,,,28,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1964-65,Frans Geurtsen,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1965-66,Willy van der Kuijlen,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1965-66,Piet Kruiver,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1966-67,Johan Cruyff,,,,,,,,33,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1967-68,Ove Kindvall,,,,,,,,28,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1968-69,Dick van Dijk,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1968-69,Ove Kindvall,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1969-70,Willy van der Kuijlen,,,,,,,,26,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1970-71,Ove Kindvall,,,,,,,,24,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1971-72,Johan Cruyff,,,,,,,,25,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1972-73,Cas Janssens,,,,,,,,18,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1972-73,Willy Brokamp,,,,,,,,18,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1973-74,Willy van der Kuijlen,,,,,,,,27,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1974-75,Ruud Geels,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1975-76,Ruud Geels,,,,,,,,29,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1976-77,Ruud Geels,,,,,,,,34,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1977-78,Ruud Geels,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1978-79,Kees Kist,,,,,,,,34,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1979-80,Kees Kist,,,,,,,,27,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1980-81,Ruud Geels,,,,,,,,22,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1981-82,Wim Kieft,,,,,,,,32,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1982-83,Peter Houtman,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1983-84,Marco van Basten,,,,,,,,28,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1984-85,Marco van Basten,,,,,,,,22,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1985-86,Marco van Basten,,,,,,,,37,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1986-87,Marco van Basten,,,,,,,,31,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1987-88,Wim Kieft,,,,,,,,29,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1988-89,Romário,,,,,,,,19,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1989-90,Romário,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1990-91,Romário,,,,,,,,25,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1990-91,Dennis Bergkamp,,,,,,,,25,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1991-92,Dennis Bergkamp,,,,,,,,22,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1992-93,Dennis Bergkamp,,,,,,,,26,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1993-94,Jari Litmanen,,,,,,,,26,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1994-95,Ronaldo,,,,,,,,30,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1995-96,Luc Nilis,,,,,,,,21,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1996-97,Luc Nilis,,,,,,,,21,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1997-98,Nikos Machlas,,,,,,,,34,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1998-99,Ruud van Nistelrooy,,,,,,,,31,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,1999-2000,Ruud van Nistelrooy,,,,,,,,29,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2000-01,Mateja Kežman,,,,,,,,24,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2001-02,Pierre van Hooijdonk,,,,,,,,24,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2002-03,Mateja Kežman,,,,,,,,35,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2003-04,Mateja Kežman,,,,,,,,31,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2004-05,Dirk Kuyt,,,,,,,,29,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2005-06,Klaas-Jan Huntelaar,,,,,,,,33,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2006-07,Afonso Alves,,,,,,,,34,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2007-08,Klaas-Jan Huntelaar,,,,,,,,33,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2008-09,Mounir El Hamdaoui,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2009-10,Luis Suárez,,,,,,,,35,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2010-11,Björn Vleminckx,,,,,,,,23,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2011-12,Bas Dost,,,,,,,,32,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2012-13,Wilfried Bony,,,,,,,,31,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2013-14,Alfreð Finnbogason,,,,,,,,29,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2014-15,Memphis Depay,,,,,,,,22,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2015-16,Vincent Janssen,,,,,,,,27,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2016-17,Nicolai Jørgensen,,,,,,,,21,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2017-18,Alireza Jahanbakhsh,,,,,,,,21,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2018-19,Luuk de Jong,,,,,,,,28,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2019-20,Dušan Tadić,,,,,,,,28,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2020-21,Giorgos Giakoumakis,,,,,,,,26,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2021-22,Sébastien Haller,,,,,,,,21,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2022-23,Anastasios Douvikas,,,,,,,,19,,,,,,
Football,Netherlands,Eredivisie,Top Scorer,2022-23,Xavi Simons,,,,,,,,19,,,,,,
Football,Spain,La Liga,Top Scorer,1929,Paco Bienzobas,,,,Real Sociedad,,,,14,,,,,,
Football,Spain,La Liga,Top Scorer,1929-30,Guillermo Gorostiza,,,,Athletic Bilbao,,,,19,,,,,,
Football,Spain,La Liga,Top Scorer,1930-31,Bata,,,,Athletic Bilbao,,,,27,,,,,,
Football,Spain,La Liga,Top Scorer,1931-32,Guillermo Gorostiza,,,,Athletic Bilbao,,,,12,,,,,,
Football,Spain,La Liga,Top Scorer,1932-33,Manuel Olivares,,,,Madrid FC,,,,16,,,,,,
Football,Spain,La Liga,Top Scorer,1933-34,Isidro Lángara,,,,Oviedo,,,,27,,,,,,
Football,Spain,La Liga,Top Scorer,1934-35,Isidro Lángara,,,,Oviedo,,,,26,,,,,,
Football,Spain,La Liga,Top Scorer,1935-36,Isidro Lángara,,,,Oviedo,,,,27,,,,,,
Football,Spain,La Liga,Top Scorer,1939-40,Víctor Unamuno,,,,Athletic Bilbao,,,,22,,,,,,
Football,Spain,La Liga,Top Scorer,1940-41,Pruden,,,,Atlético Aviación,,,,30,,,,,,
Football,Spain,La Liga,Top Scorer,1941-42,Edmundo Suárez,,,,Valencia,,,,27,,,,,,
Football,Spain,La Liga,Top Scorer,1942-43,Mariano Martín,,,,Barcelona,,,,32,,,,,,
Football,Spain,La Liga,Top Scorer,1943-44,Edmundo Suárez,,,,Valencia,,,,27,,,,,,
Football,Spain,La Liga,Top Scorer,1944-45,Telmo Zarra,,,,Atlético Bilbao,,,,19,,,,,,
Football,Spain,La Liga,Top Scorer,1945-46,Telmo Zarra,,,,Atlético Bilbao,,,,24,,,,,,
Football,Spain,La Liga,Top Scorer,1946-47,Telmo Zarra,,,,Atlético Bilbao,,,,34,,,,,,
