eco,group,subgroup,name,pgn
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Tartakower Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 dxe5 6. fxe5 Nc6 7. Be3 Bf5 8. Nc3 e6 9. Nf3 Qd7 10. Be2 O-O-O 11. O-O Be7
B03,Alekhine Defense,Four Pawns Attack,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. f4 Bf5
B03,Alekhine Defense,Hunt Variation,Alekhine Defense: Hunt Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. c5
B02,Alekhine Defense,Hunt Variation,"Alekhine Defense: Hunt Variation, Lasker Simul Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3
B02,Alekhine Defense,Hunt Variation,"Alekhine Defense: Hunt Variation, Matsukevich Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Nc3 Nxc3 6. dxc3 d6 7. Bg5
B02,Alekhine Defense,Hunt Variation,"Alekhine Defense: Hunt Variation, Mikenas Gambit",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6 7. Nxd5 exd5 8. Bxd5
B02,Alekhine Defense,Kmoch Variation,Alekhine Defense: Kmoch Variation,1. e4 Nf6 2. e5 Nd5 3. Bc4 Nb6 4. Bb3 c5 5. d3
B02,Alekhine Defense,Krejcik Variation,Alekhine Defense: Krejcik Variation,1. e4 Nf6 2. Bc4
B02,Alekhine Defense,Krejcik Variation,"Alekhine Defense: Krejcik Variation, Krejcik Gambit",1. e4 Nf6 2. Bc4 Nxe4 3. Bxf7+
B02,Alekhine Defense,Maróczy Variation,Alekhine Defense: Maróczy Variation,1. e4 Nf6 2. d3
B04,Alekhine Defense,Modern Variation,Alekhine Defense: Modern Variation,1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3
B04,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Alburt Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6
B03,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Alekhine Gambit",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. c4 Nb6 5. Nf3 Bg4 6. Be2
B05,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Alekhine Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4
B05,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Flohr Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. Be2 c6
B04,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Keres Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 g6 5. Bc4 Nb6 6. Bb3 Bg7 7. a4
B04,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Larsen Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 dxe5
B04,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Larsen-Haakert Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nc6
B05,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Main Line",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4
B05,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Panov Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. h3
B04,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Schmid Variation",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Nb6
B05,Alekhine Defense,Modern Variation,"Alekhine Defense: Modern Variation, Vitolins Attack",1. e4 Nf6 2. e5 Nd5 3. d4 d6 4. Nf3 Bg4 5. c4 Nb6 6. d5
B02,Alekhine Defense,Mokele Mbembe,Alekhine Defense: Mokele Mbembe,1. e4 Nf6 2. e5 Ne4
B02,Alekhine Defense,Mokele Mbembe,"Alekhine Defense: Mokele Mbembe, Modern Line",1. e4 Nf6 2. e5 Ne4 3. d4 f6
B02,Alekhine Defense,Mokele Mbembe,"Alekhine Defense: Mokele Mbembe, Vavra Defense",1. e4 Nf6 2. e5 Ne4 3. d4 e6
B02,Alekhine Defense,Normal Variation,Alekhine Defense: Normal Variation,1. e4 Nf6 2. e5 Nd5
B03,Alekhine Defense,O'Sullivan Gambit,Alekhine Defense: O'Sullivan Gambit,1. e4 Nf6 2. e5 Nd5 3. d4 b5
B02,Alekhine Defense,Scandinavian Variation,Alekhine Defense: Scandinavian Variation,1. e4 Nf6 2. Nc3 d5
B02,Alekhine Defense,Scandinavian Variation,"Alekhine Defense: Scandinavian Variation, Geschev Gambit",1. e4 Nf6 2. Nc3 d5 3. exd5 c6
B02,Alekhine Defense,Scandinavian Variation,"Alekhine Defense: Scandinavian Variation, Myers Gambit",1. e4 Nf6 2. Nc3 d5 3. d3 dxe4 4. Bg5
B02,Alekhine Defense,Spielmann Gambit,Alekhine Defense: Spielmann Gambit,1. e4 Nf6 2. Nc3 d5 3. e5 Nfd7 4. e6
B02,Alekhine Defense,Steiner Variation,Alekhine Defense: Steiner Variation,1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. b3
B02,Alekhine Defense,Sämisch Attack,Alekhine Defense: Sämisch Attack,1. e4 Nf6 2. e5 Nd5 3. Nc3
B02,Alekhine Defense,The Squirrel,Alekhine Defense: The Squirrel,1. e4 Nf6 2. e5 Nd5 3. c4 Nf4
B02,Alekhine Defense,Two Pawns Attack,Alekhine Defense: Two Pawns Attack,1. e4 Nf6 2. e5 Nd5 3. c4
B02,Alekhine Defense,Two Pawns Attack,"Alekhine Defense: Two Pawns Attack, Lasker Variation",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5
B02,Alekhine Defense,Two Pawns Attack,"Alekhine Defense: Two Pawns Attack, Mikenas Variation",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. c5 Nd5 5. Bc4 e6 6. Nc3 d6
B02,Alekhine Defense,Two Pawns Attack,"Alekhine Defense: Two Pawns Attack, Tate Variation",1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. a4
B02,Alekhine Defense,Welling Variation,Alekhine Defense: Welling Variation,1. e4 Nf6 2. e5 Nd5 3. b3
A00,Amar Opening,,Amar Opening,1. Nh3
A00,Amar Opening,Paris Gambit,Amar Opening: Paris Gambit,1. Nh3 d5 2. g3 e5 3. f4
A00,Amar Opening,Paris Gambit,"Amar Opening: Paris Gambit, Gent Gambit",1. Nh3 d5 2. g3 e5 3. f4 Bxh3 4. Bxh3 exf4 5. O-O fxg3 6. hxg3
D00,Amazon Attack,,Amazon Attack,1. d4 d5 2. Qd3
A45,Amazon Attack,Siberian Attack,Amazon Attack: Siberian Attack,1. d4 Nf6 2. Nc3 d5 3. Qd3
A00,Amsterdam Attack,,Amsterdam Attack,1. e3 e5 2. c4 d6 3. Nc3 Nc6 4. b3 Nf6
A00,Anderssen's Opening,,Anderssen's Opening,1. a3
A00,Anderssen's Opening,Polish Gambit,Anderssen's Opening: Polish Gambit,1. a3 a5 2. b4
A40,Australian Defense,,Australian Defense,1. d4 Na6
B00,Barnes Defense,,Barnes Defense,1. e4 f6
A00,Barnes Opening,,Barnes Opening,1. f3
A00,Barnes Opening,Fool's Mate,Barnes Opening: Fool's Mate,1. f3 e5 2. g4 Qh4#
A00,Barnes Opening,Gedult Gambit,Barnes Opening: Gedult Gambit,1. f3 d5 2. e4 g6 3. d4 dxe4 4. c3
A00,Barnes Opening,Gedult Gambit,Barnes Opening: Gedult Gambit,1. f3 f5 2. e4 fxe4 3. Nc3
A00,Barnes Opening,Hammerschlag,Barnes Opening: Hammerschlag,1. f3 e5 2. Kf2
C20,Barnes Opening,Walkerling,Barnes Opening: Walkerling,1. f3 e5 2. e4 Nf6 3. Bc4
A57,Benko Gambit,,Benko Gambit,1. d4 Nf6 2. c4 c5 3. d5 b5
A59,Benko Gambit,,Benko Gambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. g3
A58,Benko Gambit,Fianchetto Variation,Benko Gambit: Fianchetto Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. g3
A57,Benko Gambit,Mutkin Countergambit,Benko Gambit: Mutkin Countergambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. g4
A58,Benko Gambit,Nd2 Variation,Benko Gambit: Nd2 Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. Nd2
A57,Benko Gambit,Nescafe Frappe Attack,Benko Gambit: Nescafe Frappe Attack,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4
A57,Benko Gambit,Zaitsev System,Benko Gambit: Zaitsev System,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3
A57,Benko Gambit,Zaitsev Variation,"Benko Gambit: Zaitsev Variation, Nescafe Frappe Attack",1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5
A57,Benko Gambit Accepted,,Benko Gambit Accepted,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
A58,Benko Gambit Accepted,Central Storming Variation,Benko Gambit Accepted: Central Storming Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. f4
A57,Benko Gambit Accepted,Dlugy Variation,Benko Gambit Accepted: Dlugy Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. f3
A58,Benko Gambit Accepted,Fianchetto Variation,Benko Gambit Accepted: Fianchetto Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. g3 d6 8. Bg2 Bg7 9. Nf3
A58,Benko Gambit Accepted,Fully Accepted Variation,Benko Gambit Accepted: Fully Accepted Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
A59,Benko Gambit Accepted,King Walk Variation,Benko Gambit Accepted: King Walk Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. Nf3 d6 8. e4 Bxf1 9. Kxf1 Bg7 10. g3 O-O 11. Kg2
A57,Benko Gambit Accepted,Modern Variation,Benko Gambit Accepted: Modern Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. e3
A57,Benko Gambit Accepted,Pawn Return Variation,Benko Gambit Accepted: Pawn Return Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. b6
A59,Benko Gambit Accepted,Yugoslav,Benko Gambit Accepted: Yugoslav,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
A59,Benko Gambit Accepted,Yugoslav,Benko Gambit Accepted: Yugoslav,1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 g6 6. Nc3 Bxa6 7. e4 Bxf1 8. Kxf1 d6 9. Nge2
A57,Benko Gambit Declined,Bishop Attack,Benko Gambit Declined: Bishop Attack,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Bg5
A57,Benko Gambit Declined,Hjørring Countergambit,Benko Gambit Declined: Hjørring Countergambit,1. d4 Nf6 2. c4 c5 3. d5 b5 4. e4
A57,Benko Gambit Declined,Main Line,Benko Gambit Declined: Main Line,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nf3
A57,Benko Gambit Declined,Pseudo-Sämisch,Benko Gambit Declined: Pseudo-Sämisch,1. d4 Nf6 2. c4 c5 3. d5 b5 4. f3
A57,Benko Gambit Declined,Quiet Line,Benko Gambit Declined: Quiet Line,1. d4 Nf6 2. c4 c5 3. d5 b5 4. Nd2
A57,Benko Gambit Declined,Sosonko Variation,Benko Gambit Declined: Sosonko Variation,1. d4 Nf6 2. c4 c5 3. d5 b5 4. a4
A56,Benoni Defense,,Benoni Defense,1. d4 Nf6 2. c4 c5
A61,Benoni Defense,,Benoni Defense,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6
A43,Benoni Defense,Benoni Gambit Accepted,Benoni Defense: Benoni Gambit Accepted,1. d4 c5 2. dxc5
A43,Benoni Defense,Benoni Gambit,"Benoni Defense: Benoni Gambit, Schlenker Defense",1. d4 c5 2. dxc5 Na6
A43,Benoni Defense,Benoni-Indian Defense,Benoni Defense: Benoni-Indian Defense,1. d4 c5 2. d5 Nf6
A43,Benoni Defense,Benoni-Indian Defense,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order",1. d4 c5 2. d5 Nf6 3. Nf3
A43,Benoni Defense,Benoni-Staunton Gambit,Benoni Defense: Benoni-Staunton Gambit,1. d4 c5 2. d5 f5 3. e4
A70,Benoni Defense,Classical Variation,Benoni Defense: Classical Variation,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4
A72,Benoni Defense,Classical Variation,Benoni Defense: Classical Variation,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O
A75,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Argentine Counterattack",1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2 O-O 9. O-O a6 10. a4 Bg4
A71,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Averbakh-Grivas Attack",1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Bg5
A76,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Czerniak Defense",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8
A78,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Czerniak Defense",1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6
A79,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Czerniak Defense",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2 Na6 11. f3
A77,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Czerniak Defense, Tal Line",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O Re8 10. Nd2
A74,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Full Line",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O a6 10. a4
A73,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Main Line",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. Nf3 Bg7 8. Be2 O-O 9. O-O
A70,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, New York Variation",1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. h3
A70,Benoni Defense,Classical Variation,"Benoni Defense: Classical Variation, Traditional Variation",1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. e4 Bg7 8. Be2
A43,Benoni Defense,Cormorant Gambit,Benoni Defense: Cormorant Gambit,1. d4 c5 2. dxc5 b6
A56,Benoni Defense,Czech Benoni Defense,Benoni Defense: Czech Benoni Defense,1. d4 Nf6 2. c4 c5 3. d5 e5
A61,Benoni Defense,Fianchetto Variation,Benoni Defense: Fianchetto Variation,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. g3
A62,Benoni Defense,Fianchetto Variation,Benoni Defense: Fianchetto Variation,1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg2 Bg7 8. Nf3 O-O
A63,Benoni Defense,Fianchetto Variation,"Benoni Defense: Fianchetto Variation, Hastings Defense",1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg2 Bg7 8. Nf3 O-O 9. O-O Nbd7
A64,Benoni Defense,Fianchetto Variation,"Benoni Defense: Fianchetto Variation, Hastings Defense, Main Line",1. d4 Nf6 2. c4 e6 3. g3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg2 Bg7 8. Nf3 O-O 9. O-O a6 10. a4 Nbd7 11. Nd2 Re8
A68,Benoni Defense,Four Pawns Attack,Benoni Defense: Four Pawns Attack,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O
A69,Benoni Defense,Four Pawns Attack,"Benoni Defense: Four Pawns Attack, Main Line",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Nf3 O-O 9. Be2 Re8
A40,Benoni Defense,Franco-Sicilian Hybrid,Benoni Defense: Franco-Sicilian Hybrid,1. d4 e6 2. c4 c5 3. d5 exd5 4. cxd5 d6 5. Nc3 g6 6. e4 Bg7 7. Nf3 Ne7
A43,Benoni Defense,French Benoni,Benoni Defense: French Benoni,1. e4 e6 2. d4 c5 3. d5
A43,Benoni Defense,Hawk Variation,Benoni Defense: Hawk Variation,1. d4 Nf6 2. Nf3 c5 3. d5 c4
A56,Benoni Defense,Hromádka System,Benoni Defense: Hromádka System,1. d4 Nf6 2. c4 c5 3. d5 d6
A56,Benoni Defense,King's Indian System,Benoni Defense: King's Indian System,1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6
A65,Benoni Defense,King's Pawn Line,Benoni Defense: King's Pawn Line,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
A65,Benoni Defense,King's Pawn Line,Benoni Defense: King's Pawn Line,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7
A65,Benoni Defense,King's Pawn Line,Benoni Defense: King's Pawn Line,1. d4 Nf6 2. c4 g6 3. f3 c5 4. d5 d6 5. e4 Bg7 6. Nc3 e6 7. Be3 O-O 8. Qd2 exd5 9. cxd5
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Be3",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7 8. Be3
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Bg5",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Bg5 c5 7. d5
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Bg5",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7 8. Bg5
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Bg5",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Bg5 c5 7. d5 e6 8. Qd2 exd5 9. exd5
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Nge2",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f3 Bg7 8. Nge2
A65,Benoni Defense,King's Pawn Line,"Benoni Defense: King's Pawn Line, with Nge2",1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6 5. f3 O-O 6. Nge2 c5 7. d5 e6 8. Ng3 exd5 9. cxd5
A61,Benoni Defense,Knight's Tour Variation,Benoni Defense: Knight's Tour Variation,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Nd2
A66,Benoni Defense,Mikenas Variation,Benoni Defense: Mikenas Variation,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. e5
A60,Benoni Defense,Modern Variation,Benoni Defense: Modern Variation,1. d4 Nf6 2. c4 c5 3. d5 e6
A60,Benoni Defense,Modern Variation,"Benoni Defense: Modern Variation, Snake Variation",1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 Bd6
A43,Benoni Defense,Old Benoni,Benoni Defense: Old Benoni,1. d4 c5
A43,Benoni Defense,Old Benoni,Benoni Defense: Old Benoni,1. d4 c5 2. d5
A43,Benoni Defense,Old Benoni,Benoni Defense: Old Benoni,1. d4 c5 2. d5 d6
A44,Benoni Defense,Old Benoni,Benoni Defense: Old Benoni,1. d4 c5 2. d5 e5
A43,Benoni Defense,Old Benoni,"Benoni Defense: Old Benoni, Mujannah Formation",1. d4 c5 2. d5 f5
A43,Benoni Defense,Old Benoni,"Benoni Defense: Old Benoni, Schmid Variation",1. d4 c5 2. d5 d6 3. Nc3 g6
A66,Benoni Defense,Pawn Storm Variation,Benoni Defense: Pawn Storm Variation,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
A44,Benoni Defense,Semi-Benoni,Benoni Defense: Semi-Benoni,1. d4 c5 2. d5 e5 3. e4 d6
A43,Benoni Defense,Snail Variation,Benoni Defense: Snail Variation,1. d4 c5 2. d5 Na6
A67,Benoni Defense,Taimanov Variation,Benoni Defense: Taimanov Variation,1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4 Bg7 8. Bb5+
A61,Benoni Defense,Uhlmann Variation,Benoni Defense: Uhlmann Variation,1. d4 Nf6 2. c4 e6 3. Nf3 c5 4. d5 exd5 5. cxd5 d6 6. Nc3 g6 7. Bg5
A56,Benoni Defense,Weenink Variation,Benoni Defense: Weenink Variation,1. d4 Nf6 2. c4 c5 3. dxc5 e6
A43,Benoni Defense,Woozle,Benoni Defense: Woozle,1. d4 c5 2. d5 Nf6 3. Nc3 Qa5
A43,Benoni Defense,Zilbermints-Benoni Gambit,Benoni Defense: Zilbermints-Benoni Gambit,1. d4 c5 2. b4
A43,Benoni Defense,Zilbermints-Benoni Gambit,Benoni Defense: Zilbermints-Benoni Gambit,1. d4 c5 2. Nf3 cxd4 3. b4
A43,Benoni Defense,Zilbermints-Benoni Gambit,"Benoni Defense: Zilbermints-Benoni Gambit, Tamarkin Countergambit",1. d4 c5 2. Nf3 cxd4 3. b4 e5
A02,Bird Opening,,Bird Opening,1. f4
A02,Bird Opening,Batavo-Polish Attack,Bird Opening: Batavo-Polish Attack,1. f4 Nf6 2. Nf3 g6 3. b4
A02,Bird Opening,Double Duck Formation,Bird Opening: Double Duck Formation,1. f4 f5 2. d4 d5
A03,Bird Opening,Dutch Variation,Bird Opening: Dutch Variation,1. f4 d5
B21,Bird Opening,Dutch Variation,"Bird Opening: Dutch Variation, Batavo Gambit",1. e4 c5 2. f4 d5 3. Nf3 dxe4
A03,Bird Opening,Dutch Variation,"Bird Opening: Dutch Variation, Dudweiler Gambit",1. f4 d5 2. g4
A02,Bird Opening,From's Gambit,Bird Opening: From's Gambit,1. f4 e5
A02,Bird Opening,From's Gambit,"Bird Opening: From's Gambit, Bahr Gambit",1. f4 e5 2. Nc3
