section,sectionId,label,description,icon,href,actionLabel,actionUrl
Apps (Desktop),apps-desktop,Keynotes,Productivity,PiPresentation,https://hieudoanm.github.io/downloads/keynotes,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-keynotes-latest
Apps (Desktop),apps-desktop,Markdown,Productivity,PiMarkdownLogo,https://hieudoanm.github.io/downloads/markdown,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-markdown-latest
Apps (Desktop),apps-desktop,Messaging,Social Networking,PiPaperPlaneTilt,https://hieudoanm.github.io/downloads/messaging,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-social-networking-messaging-latest
Apps (Desktop),apps-desktop,Nikoli,Entertainment,PiGridNine,https://hieudoanm.github.io/downloads/nikoli,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-entertainment-nikoli-latest
Apps (Desktop),apps-desktop,Password,Utilities,PiPassword,https://hieudoanm.github.io/downloads/password,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-password-latest
Apps (Desktop),apps-desktop,PDF,Productivity,PiFilePdf,https://hieudoanm.github.io/downloads/pdf,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-pdf-latest
Apps (Desktop),apps-desktop,Photo,Graphics & Design,PiImage,https://hieudoanm.github.io/downloads/photo,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-photo-latest
Apps (Desktop),apps-desktop,Resume,Productivity,PiFilePdf,https://hieudoanm.github.io/downloads/resume,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-resume-latest
Apps (Desktop),apps-desktop,Projects,Productivity,PiFolder,https://hieudoanm.github.io/downloads/projects,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-projects-latest
Apps (Desktop),apps-desktop,SVG,Graphics & Design,PiPath,https://hieudoanm.github.io/downloads/svg,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-svg-latest
Apps (Desktop),apps-desktop,Tourney,Sports,PiTrophy,https://hieudoanm.github.io/downloads/tourney,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-tourney-latest
Apps (Desktop),apps-desktop,Video,Graphics & Design,PiVideoCamera,https://hieudoanm.github.io/downloads/video,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-video-latest
Apps (Desktop),apps-desktop,Wallet,Finance,PiWallet,https://hieudoanm.github.io/downloads/wallet,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-finance-wallet-latest
Apps (Desktop),apps-desktop,POS,Business,PiShoppingCart,https://hieudoanm.github.io/downloads/pos,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-business-pos-latest
Apps (Mobile),apps-mobile,Block,Utilities,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-android-block-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-android-block-latest
Apps (Mobile),apps-mobile,NFC,Utilities,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-android-nfc-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-android-nfc-latest
Apps (Mobile),apps-mobile,Clipper,Utilities,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-macos-clipper-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-macos-clipper-latest
Apps (Mobile),apps-mobile,Snap,Utilities,,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-macos-snap-latest,Download App,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-native-macos-snap-latest
