no,sectionId,section,appId,app,primaryCategory,secondaryCategory,icon,version,lastUpdated,fileSize,href,releasesAction,releasesUrl
17,hybrid,Hybrid,photo,Photo,Graphics & Design,Photo & Video,PiImage,latest,2025-01-01,,https://hieudoanm.github.io/open/photo,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-photo-latest
18,hybrid,Hybrid,svg,SVG,Graphics & Design,Photo & Video,PiPath,latest,2025-01-01,,https://hieudoanm.github.io/open/svg,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-svg-latest
19,hybrid,Hybrid,video,Video,Graphics & Design,Photo & Video,PiVideoCamera,latest,2025-01-01,,https://hieudoanm.github.io/open/video,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-graphics-design-video-latest
20,hybrid,Hybrid,brainbow,Brainbow,Medical,Health & Fitness,PiMicroscope,latest,2025-01-01,,https://hieudoanm.github.io/open/brainbow,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-medical-brainbow-latest
21,hybrid,Hybrid,mri,MRI,Medical,Health & Fitness,PiScan,latest,2025-01-01,,https://hieudoanm.github.io/open/mri,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-medical-mri-latest
22,hybrid,Hybrid,office,Office,Productivity,Business,PiCalendarBlank,latest,2026-08-26,,https://hieudoanm.github.io/open/office,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-office-latest
23,hybrid,Hybrid,keynotes,Keynotes,Productivity,Education,PiPresentation,latest,2025-01-01,,https://hieudoanm.github.io/open/keynotes,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-keynotes-latest
24,hybrid,Hybrid,pdf,PDF,Productivity,Business,PiFilePdf,latest,2025-01-01,,https://hieudoanm.github.io/open/pdf,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-pdf-latest
25,hybrid,Hybrid,resume,Resume,Productivity,Business,PiFilePdf,latest,2025-01-01,,https://hieudoanm.github.io/open/resume,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-productivity-resume-latest
26,hybrid,Hybrid,store,Store,Shopping,Business,PiShoppingBag,latest,2025-01-01,,https://hieudoanm.github.io/open/store,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-shopping-store-latest
27,hybrid,Hybrid,chat,Chat,Social Networking,Business,PiChat,latest,2025-01-01,,https://hieudoanm.github.io/open/chat,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-social-networking-chat-latest
28,hybrid,Hybrid,messaging,Messaging,Social Networking,Business,PiPaperPlaneTilt,latest,2025-01-01,,https://hieudoanm.github.io/open/messaging,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-social-networking-messaging-latest
29,hybrid,Hybrid,chess,Chess,Sports,Games,PiGameController,latest,2025-01-01,,https://hieudoanm.github.io/open/chess,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-chess-latest
30,hybrid,Hybrid,football,Football,Sports,Games,PiSoccerBall,latest,2025-01-01,,https://hieudoanm.github.io/open/football,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-football-latest
31,hybrid,Hybrid,tourney,Tourney,Sports,Games,PiTrophy,latest,2025-01-01,,https://hieudoanm.github.io/open/tourney,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-sports-tourney-latest
32,hybrid,Hybrid,clock,Clock,Utilities,Productivity,PiClock,latest,2026-08-27,,https://hieudoanm.github.io/open/clock,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-clock-latest
33,hybrid,Hybrid,docs,Docs,Utilities,Productivity,PiGear,latest,2025-01-01,,https://hieudoanm.github.io,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-docs-latest
34,hybrid,Hybrid,password,Password,Utilities,Productivity,PiPassword,latest,2025-01-01,,https://hieudoanm.github.io/open/password,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-hybrid-utilities-password-latest
35,headless,Headless,backbone,Backbone,Developer Tools,,PiPlugs,latest,2025-01-01,,https://hieudoanm.github.io/open/backbone/,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-headless-backbone-latest
36,headless,Headless,browserverless,Browserverless,Developer Tools,,PiBrowser,latest,2026-08-29,,https://hieudoanm.github.io/open/browserverless/,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-headless-browserverless-latest
37,headless,Headless,jack,J.A.C.K.,Developer Tools,,PiTerminalWindow,latest,2026-09-06,,https://hieudoanm.github.io/open/jack/,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-headless-jack-latest
38,headless,Headless,kevin,KeVIN,Developer Tools,,PiDatabase,latest,2026-09-06,,https://hieudoanm.github.io/open/kevin/,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-headless-kevin-latest
39,headless,Headless,landify,Landify,Developer Tools,,PiFileCode,latest,2026-09-07,,https://hieudoanm.github.io/open/landify/,View Releases,https://github.com/hieudoanm/hieudoanm.github.io/releases/tag/app-headless-landify-latest
