country,title,number,name,term_start,term_end,party
Gabon,Presidents,4,Ali Bongo Ondimba,16 Oct 2009,30 Aug 2023,Gabonese Democratic Party
Gabon,Presidents,5,Brice Clotaire Oligui Nguema,30 Aug 2023,Present,Military
Sao Tome And Principe,Presidents,1,Manuel Pinto da Costa,12 Jul 1975,4 Mar 1991,Movement for the Liberation of São Tomé and Príncipe
Sao Tome And Principe,Presidents,2,Miguel Trovoada,4 Mar 1991,3 Sep 2001,Independent Democratic Action
Sao Tome And Principe,Presidents,3,Fradique de Menezes,3 Sep 2001,3 Sep 2011,Independent Democratic Action
Sao Tome And Principe,Presidents,4,Manuel Pinto da Costa,3 Sep 2011,3 Sep 2016,Independent
Sao Tome And Principe,Presidents,5,Evaristo Carvalho,3 Sep 2016,2 Oct 2021,Independent Democratic Action
Sao Tome And Principe,Presidents,6,Carlos Vila Nova,2 Oct 2021,Present,Independent Democratic Action
Burundi,Presidents,1,Michel Micombero,28 Nov 1966,1 Nov 1976,Union for National Progress
Burundi,Presidents,2,Jean-Baptiste Bagaza,1 Nov 1976,3 Sep 1987,Union for National Progress
Burundi,Presidents,3,Pierre Buyoya,3 Sep 1987,10 Jul 1993,Union for National Progress
Burundi,Presidents,4,Melchior Ndadaye,10 Jul 1993,21 Oct 1993,Front for Democracy in Burundi
Burundi,Presidents,5,Cyprien Ntaryamira,5 Feb 1994,6 Apr 1994,Front for Democracy in Burundi
Burundi,Presidents,6,Sylvestre Ntibantunganya,6 Apr 1994,25 Jul 1996,Front for Democracy in Burundi
Burundi,Presidents,7,Pierre Buyoya,25 Jul 1996,30 Apr 2003,Union for National Progress
Burundi,Presidents,8,Domitien Ndayizeye,30 Apr 2003,26 Aug 2005,Front for Democracy in Burundi
Burundi,Presidents,9,Pierre Nkurunziza,26 Aug 2005,8 Jun 2020,National Council for the Defense of Democracy
Burundi,Presidents,10,Évariste Ndayishimiye,18 Jun 2020,Present,National Council for the Defense of Democracy
Comoros,Presidents,1,Ahmed Abdallah,6 Jul 1975,3 Aug 1975,Comorian Democratic Union
Comoros,Presidents,2,Said Mohamed Jaffar,3 Aug 1975,3 Jan 1976,Independent
Comoros,Presidents,3,Ali Soilih,3 Jan 1976,13 May 1978,United National Front
Comoros,Presidents,4,Ahmed Abdallah,23 May 1978,26 Nov 1989,Comorian Democratic Union
Comoros,Presidents,5,Said Mohamed Djohar,20 Mar 1990,29 Sep 1995,Comorian Union for Progress
Comoros,Presidents,6,Mohamed Taki Abdoulkarim,20 Mar 1996,6 Nov 1998,National Union for Democracy
Comoros,Presidents,7,Azali Assoumani,6 May 1999,21 Jan 2002,Military
Comoros,Presidents,8,Ahmed Abdallah Mohamed Sambi,26 May 2006,26 May 2011,Independent
Comoros,Presidents,9,Ikililou Dhoinine,26 May 2011,26 May 2016,People's Party
Comoros,Presidents,10,Azali Assoumani,26 May 2016,Present,Convention for the Renewal of the Comoros
Djibouti,Presidents,1,Hassan Gouled Aptidon,27 Jun 1977,8 May 1999,People's Rally for Progress
Djibouti,Presidents,2,Ismaïl Omar Guelleh,8 May 1999,Present,People's Rally for Progress
Eritrea,Presidents,1,Isaias Afwerki,27 Apr 1993,Present,People's Front for Democracy and Justice
Ethiopia,Prime Ministers,1,Haile Selassie,2 Apr 1930,12 Sep 1974,Independent
Ethiopia,Prime Ministers,2,Tafari Benti,28 Nov 1974,3 Feb 1977,Derg
Ethiopia,Prime Ministers,3,Mengistu Haile Mariam,11 Feb 1977,21 May 1991,Workers' Party of Ethiopia
Ethiopia,Prime Ministers,4,Meles Zenawi,27 May 1991,20 Aug 2012,Tigray People's Liberation Front
Ethiopia,Prime Ministers,5,Hailemariam Desalegn,20 Aug 2012,15 Feb 2018,Ethiopian People's Revolutionary Democratic Front
Ethiopia,Prime Ministers,6,Abiy Ahmed,2 Apr 2018,Present,Prosperity Party
Kenya,Presidents,1,Jomo Kenyatta,12 Dec 1964,22 Aug 1978,Kenya African National Union
Kenya,Presidents,2,Daniel arap Moi,22 Aug 1978,30 Dec 2002,Kenya African National Union
Kenya,Presidents,3,Mwai Kibaki,30 Dec 2002,9 Apr 2013,Party of National Unity
Kenya,Presidents,4,Uhuru Kenyatta,9 Apr 2013,13 Sep 2022,The National Alliance
Kenya,Presidents,5,William Ruto,13 Sep 2022,Present,United Democratic Alliance
Madagascar,Presidents,1,Philibert Tsiranana,1 May 1959,11 Oct 1972,Social Democratic Party
Madagascar,Presidents,2,Gabriel Ramanantsoa,11 Oct 1972,5 Feb 1975,Military
Madagascar,Presidents,3,Didier Ratsiraka,15 Jun 1975,12 Jan 1993,AREMA
Madagascar,Presidents,4,Albert Zafy,27 Mar 1993,5 Sep 1996,National Union for Democracy and Development
Madagascar,Presidents,5,Didier Ratsiraka,9 Feb 1997,5 Jul 2002,AREMA
Madagascar,Presidents,6,Marc Ravalomanana,6 May 2002,17 Mar 2009,I Love Madagascar
Madagascar,Presidents,7,Andry Rajoelina,17 Mar 2009,25 Jan 2014,Young Malagasies Determined
Madagascar,Presidents,8,Hery Rajaonarimampianina,25 Jan 2014,7 Sep 2018,Movement for the Development of Madagascar
Madagascar,Presidents,9,Rivo Rakotovao,7 Sep 2018,19 Jan 2019,Movement for the Development of Madagascar
Madagascar,Presidents,10,Andry Rajoelina,19 Jan 2019,Present,Young Malagasies Determined
Malawi,Presidents,1,Hastings Banda,6 Jul 1966,24 May 1994,Malawi Congress Party
Malawi,Presidents,2,Bakili Muluzi,24 May 1994,24 May 2004,United Democratic Front
Malawi,Presidents,3,Bingu wa Mutharika,24 May 2004,5 Apr 2012,Democratic Progressive Party
Malawi,Presidents,4,Joyce Banda,7 Apr 2012,31 May 2014,People's Party
Malawi,Presidents,5,Peter Mutharika,31 May 2014,28 Jun 2020,Democratic Progressive Party
Malawi,Presidents,6,Lazarus Chakwera,28 Jun 2020,Present,Malawi Congress Party
Mauritius,Presidents,1,Sir Veerasamy Ringadoo,12 Mar 1992,30 Jun 1992,Labour Party
Mauritius,Presidents,2,Cassam Uteem,30 Jun 1992,15 Feb 2002,Mauritian Militant Movement
Mauritius,Presidents,3,Karl Offmann,25 Feb 2002,1 Oct 2003,Militant Socialist Movement
Mauritius,Presidents,4,Sir Anerood Jugnauth,7 Oct 2003,31 Mar 2012,Militant Socialist Movement
Mauritius,Presidents,5,Kailash Purryag,21 Jul 2012,29 May 2015,Labour Party
Mauritius,Presidents,6,Ameenah Gurib-Fakim,5 Jun 2015,23 Mar 2018,Independent
Mauritius,Presidents,7,Prithvirajsing Roopun,2 Dec 2019,Present,Labour Party
Mozambique,Presidents,1,Samora Machel,25 Jun 1975,19 Oct 1986,FRELIMO
Mozambique,Presidents,2,Joaquim Chissano,6 Nov 1986,2 Feb 2005,FRELIMO
Mozambique,Presidents,3,Armando Guebuza,2 Feb 2005,15 Jan 2015,FRELIMO
Mozambique,Presidents,4,Filipe Nyusi,15 Jan 2015,Present,FRELIMO
Rwanda,Presidents,1,Grégoire Kayibanda,1 Jul 1962,5 Jul 1973,Parmehutu
Rwanda,Presidents,2,Juvénal Habyarimana,5 Jul 1973,6 Apr 1994,National Republican Movement for Democracy and Development
Rwanda,Presidents,3,Pasteur Bizimungu,19 Jul 1994,23 Mar 2000,Rwandan Patriotic Front
Rwanda,Presidents,4,Paul Kagame,24 Mar 2000,Present,Rwandan Patriotic Front
Seychelles,Presidents,1,James Mancham,29 Jun 1976,5 Jun 1977,Democratic Party
Seychelles,Presidents,2,France-Albert René,5 Jun 1977,14 Jul 2004,Seychelles People's Progressive Front
Seychelles,Presidents,3,James Michel,14 Jul 2004,16 Oct 2016,People's Party
Seychelles,Presidents,4,Danny Faure,16 Oct 2016,26 Oct 2020,United Seychelles
Seychelles,Presidents,5,Wavel Ramkalawan,26 Oct 2020,Present,Seychelles National Party
Somalia,Presidents,1,Aden Adde,1 Jul 1960,10 Jun 1967,Somali Youth League
Somalia,Presidents,2,Abdirashid Shermarke,10 Jun 1967,15 Oct 1969,Somali Youth League
Somalia,Presidents,3,Siad Barre,21 Oct 1969,26 Jan 1991,Somali Revolutionary Socialist Party
Somalia,Presidents,4,Ali Mahdi Muhammad,26 Jan 1991,3 Jan 1997,United Somali Congress
Somalia,Presidents,5,Abdiqasim Salad Hassan,27 Aug 2000,14 Oct 2004,Transitional National Government
Somalia,Presidents,6,Abdullahi Yusuf Ahmed,14 Oct 2004,29 Dec 2008,Transitional Federal Government
Somalia,Presidents,7,Sharif Sheikh Ahmed,31 Jan 2009,20 Aug 2012,Alliance for the Re-liberation of Somalia
Somalia,Presidents,8,Hassan Sheikh Mohamud,16 Sep 2012,16 Feb 2017,Peace and Development Party
Somalia,Presidents,9,Mohamed Abdullahi Mohamed,16 Feb 2017,15 May 2022,Tayo
Somalia,Presidents,10,Hassan Sheikh Mohamud,23 May 2022,Present,Union for Peace and Development
South Sudan,Presidents,1,Salva Kiir Mayardit,9 Jul 2011,Present,Sudan People's Liberation Movement
Tanzania,Presidents,1,Julius Nyerere,29 Oct 1964,5 Nov 1985,Chama Cha Mapinduzi
Tanzania,Presidents,2,Ali Hassan Mwinyi,5 Nov 1985,23 Nov 1995,Chama Cha Mapinduzi
Tanzania,Presidents,3,Benjamin Mkapa,23 Nov 1995,21 Dec 2005,Chama Cha Mapinduzi
Tanzania,Presidents,4,Jakaya Kikwete,21 Dec 2005,5 Nov 2015,Chama Cha Mapinduzi
Tanzania,Presidents,5,John Magufuli,5 Nov 2015,17 Mar 2021,Chama Cha Mapinduzi
Tanzania,Presidents,6,Samia Suluhu Hassan,19 Mar 2021,Present,Chama Cha Mapinduzi
Uganda,Presidents,1,Milton Obote,9 Oct 1963,27 Jan 1971,Uganda People's Congress
Uganda,Presidents,2,Idi Amin,25 Jan 1971,13 Apr 1979,Military
Uganda,Presidents,3,Yusufu Lule,13 Apr 1979,20 Jun 1979,Independent
Uganda,Presidents,4,Godfrey Binaisa,20 Jun 1979,12 May 1980,Uganda People's Congress
Uganda,Presidents,5,Milton Obote,17 Dec 1980,27 Jul 1985,Uganda People's Congress
Uganda,Presidents,6,Tito Okello,29 Jul 1985,26 Jan 1986,Military
Uganda,Presidents,7,Yoweri Museveni,26 Jan 1986,Present,National Resistance Movement
Zambia,Presidents,1,Kenneth Kaunda,24 Oct 1964,2 Nov 1991,United National Independence Party
Zambia,Presidents,2,Frederick Chiluba,2 Nov 1991,2 Jan 2002,Movement for Multi-Party Democracy
Zambia,Presidents,3,Levy Mwanawasa,2 Jan 2002,19 Aug 2008,Movement for Multi-Party Democracy
Zambia,Presidents,4,Rupiah Banda,19 Aug 2008,23 Sep 2011,Movement for Multi-Party Democracy
Zambia,Presidents,5,Michael Sata,23 Sep 2011,28 Oct 2014,Patriotic Front
Zambia,Presidents,6,Edgar Lungu,25 Jan 2015,24 Aug 2021,Patriotic Front
Zambia,Presidents,7,Hakainde Hichilema,24 Aug 2021,Present,United Party for National Development
Zimbabwe,Presidents,1,Canaan Banana,18 Apr 1980,31 Dec 1987,ZANU–PF
Zimbabwe,Presidents,2,Robert Mugabe,31 Dec 1987,21 Nov 2017,ZANU–PF
Zimbabwe,Presidents,3,Emmerson Mnangagwa,24 Nov 2017,Present,ZANU–PF
Algeria,Presidents,1,Ahmed Ben Bella,15 Sep 1963,19 Jun 1965,National Liberation Front
Algeria,Presidents,2,Houari Boumédiène,19 Jun 1965,27 Dec 1978,Military
Algeria,Presidents,3,Rabah Bitat,27 Dec 1978,9 Feb 1979,National Liberation Front
Algeria,Presidents,4,Chadli Bendjedid,9 Feb 1979,11 Jan 1992,National Liberation Front
Algeria,Presidents,5,Mohamed Boudiaf,16 Jan 1992,29 Jun 1992,Independent
Algeria,Presidents,6,Ali Kafi,2 Jul 1992,31 Jan 1994,National Liberation Front
Algeria,Presidents,7,Liamine Zéroual,31 Jan 1994,27 Apr 1999,Independent
Algeria,Presidents,8,Abdelaziz Bouteflika,27 Apr 1999,2 Apr 2019,National Liberation Front
Algeria,Presidents,9,Abdelkader Bensalah,2 Apr 2019,19 Dec 2019,National Liberation Front
Algeria,Presidents,10,Abdelmadjid Tebboune,19 Dec 2019,Present,National Liberation Front
Egypt,Presidents,1,Gamal Abdel Nasser,23 Jun 1956,28 Sep 1970,Arab Socialist Union
Egypt,Presidents,2,Anwar Sadat,15 Oct 1970,6 Oct 1981,Arab Socialist Union / NDP
Egypt,Presidents,3,Hosni Mubarak,14 Oct 1981,11 Feb 2011,National Democratic Party
Egypt,Presidents,4,Mohamed Hussein Tantawy,11 Feb 2011,30 Jun 2012,Military
Egypt,Presidents,5,Mohamed Morsi,30 Jun 2012,3 Jul 2013,Freedom and Justice Party
Egypt,Presidents,6,Abdel Fattah el-Sisi,8 Jun 2014,Present,Independent
Libya,Leaders,1,Idris I,24 Dec 1951,1 Sep 1969,Independent
Libya,Leaders,2,Muammar Gaddafi,1 Sep 1969,20 Oct 2011,Arab Socialist Union
Libya,Leaders,3,Mustafa Abdul Jalil,23 Oct 2011,8 Aug 2012,Independent
Libya,Leaders,4,Mohamed al-Menfi,15 Mar 2021,Present,Independent
Mauritania,Presidents,1,Moktar Ould Daddah,28 Nov 1960,10 Jul 1978,Mauritanian People's Party
Mauritania,Presidents,2,Mohamed Khouna Ould Haidalla,4 Jan 1980,12 Dec 1984,Military
Mauritania,Presidents,3,Maaouya Ould Sid'Ahmed Taya,12 Dec 1984,3 Aug 2005,Republican Democratic Party
Mauritania,Presidents,4,Ely Ould Mohamed Vall,3 Aug 2005,19 Apr 2007,Military
Mauritania,Presidents,5,Sidi Ould Cheikh Abdallahi,19 Apr 2007,6 Aug 2008,Independent
Mauritania,Presidents,6,Mohamed Ould Abdel Aziz,5 Aug 2009,1 Aug 2019,Union for the Republic
Mauritania,Presidents,7,Mohamed Ould Ghazouani,1 Aug 2019,Present,Union for the Republic
Morocco,Kings,1,Mohammed V,14 Aug 1957,26 Feb 1961,Alaouite Dynasty
Morocco,Kings,2,Hassan II,26 Feb 1961,23 Jul 1999,Alaouite Dynasty
Morocco,Kings,3,Mohammed VI,23 Jul 1999,Present,Alaouite Dynasty
Sudan,Presidents,1,Ibrahim Abboud,18 Nov 1958,26 Oct 1964,Military
Sudan,Presidents,2,Gaafar Nimeiry,25 May 1969,6 Apr 1985,Sudanese Socialist Union
Sudan,Presidents,3,Abdel Rahman Swar al-Dahab,6 Apr 1985,6 May 1986,Military
Sudan,Presidents,4,Ahmed al-Mirghani,6 May 1986,30 Jun 1989,Democratic Unionist Party
Sudan,Presidents,5,Omar al-Bashir,30 Jun 1989,11 Apr 2019,National Congress Party
Sudan,Presidents,6,Abdel Fattah al-Burhan,11 Apr 2019,Present,Military
Tunisia,Presidents,1,Habib Bourguiba,25 Jul 1957,7 Nov 1987,Socialist Destourian Party
Tunisia,Presidents,2,Zine El Abidine Ben Ali,7 Nov 1987,14 Jan 2011,Democratic Constitutional Rally
Tunisia,Presidents,3,Fouad Mebazaa,15 Jan 2011,13 Dec 2011,Independent
Tunisia,Presidents,4,Moncef Marzouki,13 Dec 2011,31 Dec 2014,Congress for the Republic
Tunisia,Presidents,5,Beji Caid Essebsi,31 Dec 2014,25 Jul 2019,Nidaa Tounes
Tunisia,Presidents,6,Kais Saied,23 Oct 2019,Present,Independent
Botswana,Presidents,1,Seretse Khama,30 Sep 1966,13 Jul 1980,Botswana Democratic Party
Botswana,Presidents,2,Quett Masire,13 Jul 1980,31 Mar 1998,Botswana Democratic Party
Botswana,Presidents,3,Festus Mogae,1 Apr 1998,1 Apr 2008,Botswana Democratic Party
Botswana,Presidents,4,Ian Khama,1 Apr 2008,1 Apr 2018,Botswana Democratic Party
Botswana,Presidents,5,Mokgweetsi Masisi,1 Apr 2018,1 Nov 2024,Botswana Democratic Party
Botswana,Presidents,6,Duma Boko,1 Nov 2024,Present,Umbrella for Democratic Change
Eswatini,Kings,1,Sobhuza II,10 Dec 1899,21 Aug 1982,House of Dlamini
Eswatini,Kings,2,Mswati III,25 Apr 1986,Present,House of Dlamini
Lesotho,Kings,1,Moshoeshoe II,4 Oct 1966,15 Jan 1996,House of Moshoeshoe
Lesotho,Kings,2,Letsie III,7 Feb 1996,Present,House of Moshoeshoe
Namibia,Presidents,1,Sam Nujoma,21 Mar 1990,21 Mar 2005,SWAPO
Namibia,Presidents,2,Hifikepunye Pohamba,21 Mar 2005,21 Mar 2015,SWAPO
Namibia,Presidents,3,Hage Geingob,21 Mar 2015,4 Feb 2024,SWAPO
Namibia,Presidents,4,Nangolo Mbumba,4 Feb 2024,Present,SWAPO
South Africa,Presidents,1,Nelson Mandela,10 May 1994,16 Jun 1999,African National Congress
South Africa,Presidents,2,Thabo Mbeki,16 Jun 1999,24 Sep 2008,African National Congress
South Africa,Presidents,3,Kgalema Motlanthe,25 Sep 2008,9 May 2009,African National Congress
South Africa,Presidents,4,Jacob Zuma,9 May 2009,14 Feb 2018,African National Congress
South Africa,Presidents,5,Cyril Ramaphosa,15 Feb 2018,Present,African National Congress
Benin,Presidents,1,Mathieu Kérékou,30 Nov 1975,4 Apr 2006,People's Revolutionary Party
Benin,Presidents,2,Boni Yayi,6 Apr 2006,6 Apr 2016,Independent
Benin,Presidents,3,Patrice Talon,6 Apr 2016,Present,Independent
Burkina Faso,Presidents,1,Thomas Sankara,4 Aug 1983,15 Oct 1987,Military
Burkina Faso,Presidents,2,Blaise Compaoré,15 Oct 1987,31 Oct 2014,Congress for Democracy and Progress
Burkina Faso,Presidents,3,Michel Kafando,18 Nov 2014,17 Sep 2015,Independent
Burkina Faso,Presidents,4,Roch Marc Christian Kaboré,29 Dec 2015,24 Jan 2022,People's Movement for Progress
Burkina Faso,Presidents,5,Ibrahim Traoré,30 Sep 2022,Present,Military
Cape Verde,Presidents,1,Aristides Pereira,8 Jul 1975,22 Mar 1991,African Party for the Independence of Cape Verde
Cape Verde,Presidents,2,António Mascarenhas Monteiro,22 Mar 1991,22 Mar 2001,Movement for Democracy
Cape Verde,Presidents,3,Pedro Pires,22 Mar 2001,9 Sep 2011,African Party for the Independence of Cape Verde
Cape Verde,Presidents,4,Jorge Carlos Fonseca,9 Sep 2011,9 Nov 2021,Movement for Democracy
Cape Verde,Presidents,5,José Maria Neves,9 Nov 2021,Present,African Party for the Independence of Cape Verde
Cote D Ivoire,Presidents,1,Félix Houphouët-Boigny,3 Nov 1960,7 Dec 1993,Democratic Party of Côte d'Ivoire
Cote D Ivoire,Presidents,2,Henri Konan Bédié,7 Dec 1993,24 Dec 1999,Democratic Party of Côte d'Ivoire
Cote D Ivoire,Presidents,3,Robert Guéï,24 Dec 1999,26 Oct 2000,Military
Cote D Ivoire,Presidents,4,Laurent Gbagbo,26 Oct 2000,11 Apr 2011,Ivorian Popular Front
Cote D Ivoire,Presidents,5,Alassane Ouattara,11 Apr 2011,Present,Rally of the Republicans
Gambia,Presidents,1,Dawda Jawara,24 Apr 1970,22 Jul 1994,People's Progressive Party
Gambia,Presidents,2,Yahya Jammeh,22 Jul 1994,19 Jan 2017,Alliance for Patriotic Reorientation and Construction
Gambia,Presidents,3,Adama Barrow,19 Jan 2017,Present,United Democratic Party
Ghana,Presidents,1,Kwame Nkrumah,1 Jul 1960,24 Feb 1966,Convention People's Party
Ghana,Presidents,2,Joseph Arthur Ankrah,24 Feb 1966,2 Apr 1969,Military
Ghana,Presidents,3,Akwasi Afrifa,2 Apr 1969,7 Aug 1970,Military
Ghana,Presidents,4,Nii Amaa Ollennu,7 Aug 1970,31 Aug 1970,Independent
Ghana,Presidents,5,Edward Akufo-Addo,31 Aug 1970,13 Jan 1972,Independent
Ghana,Presidents,6,Ignatius Kutu Acheampong,13 Jan 1972,5 Jul 1978,Military
Ghana,Presidents,7,Fred Akuffo,5 Jul 1978,4 Jun 1979,Military
Ghana,Presidents,8,Jerry Rawlings,4 Jun 1979,24 Sep 1979,Military
Ghana,Presidents,9,Hilla Limann,24 Sep 1979,31 Dec 1981,People's National Party
Ghana,Presidents,10,Jerry Rawlings,31 Dec 1981,7 Jan 2001,Military / NDC
Ghana,Presidents,11,John Kufuor,7 Jan 2001,7 Jan 2009,New Patriotic Party
Ghana,Presidents,12,John Atta Mills,7 Jan 2009,24 Jul 2012,National Democratic Congress
Ghana,Presidents,13,John Mahama,24 Jul 2012,7 Jan 2017,National Democratic Congress
Ghana,Presidents,14,Nana Akufo-Addo,7 Jan 2017,7 Jan 2025,New Patriotic Party
Ghana,Presidents,15,John Mahama,7 Jan 2025,Present,National Democratic Congress
Guinea Bissau,Presidents,1,Luís Cabral,24 Sep 1973,14 Nov 1980,African Party for the Independence of Guinea and Cape Verde
Guinea Bissau,Presidents,2,João Bernardo Vieira,14 Nov 1980,7 May 1999,PAIGC
Guinea Bissau,Presidents,3,Malam Bacai Sanhá,14 May 1999,17 Feb 2000,PAIGC
Guinea Bissau,Presidents,4,Kumba Ialá,17 Feb 2000,14 Sep 2003,Party for Social Renewal
Guinea Bissau,Presidents,5,Henrique Rosa,28 Sep 2003,1 Oct 2005,Independent
Guinea Bissau,Presidents,6,João Bernardo Vieira,1 Oct 2005,2 Mar 2009,PAIGC
Guinea Bissau,Presidents,7,Malam Bacai Sanhá,8 Sep 2009,9 Jan 2012,PAIGC
Guinea Bissau,Presidents,8,José Mário Vaz,23 Jun 2014,27 Feb 2020,PAIGC
Guinea Bissau,Presidents,9,Umaro Sissoco Embaló,27 Feb 2020,Present,Madem G15
Guinea,Presidents,1,Ahmed Sékou Touré,2 Oct 1958,26 Mar 1984,Democratic Party of Guinea
Guinea,Presidents,2,Lansana Conté,3 Apr 1984,22 Dec 2008,Military / PUP
Guinea,Presidents,3,Moussa Dadis Camara,24 Dec 2008,3 Dec 2009,Military
Guinea,Presidents,4,Alpha Condé,21 Dec 2010,5 Sep 2021,Rally of the Guinean People
Guinea,Presidents,5,Mamady Doumbouya,5 Sep 2021,Present,Military
Liberia,Presidents,1,Joseph Jenkins Roberts,3 Jan 1848,7 Jan 1856,True Whig Party
Liberia,Presidents,2,William Tubman,3 Jan 1944,23 Jul 1971,True Whig Party
Liberia,Presidents,3,William Tolbert,23 Jul 1971,12 Apr 1980,True Whig Party
Liberia,Presidents,4,Samuel Doe,12 Apr 1980,9 Sep 1990,Military
Liberia,Presidents,5,Amos Sawyer,22 Nov 1990,7 Mar 1994,Independent
Liberia,Presidents,6,Charles Taylor,2 Aug 1997,11 Aug 2003,National Patriotic Party
Liberia,Presidents,7,Gyude Bryant,14 Oct 2003,16 Jan 2006,Independent
Liberia,Presidents,8,Ellen Johnson Sirleaf,16 Jan 2006,22 Jan 2018,Unity Party
Liberia,Presidents,9,George Weah,22 Jan 2018,22 Jan 2024,Congress for Democratic Change
Liberia,Presidents,10,Joseph Boakai,22 Jan 2024,Present,Unity Party
Mali,Presidents,1,Modibo Keita,20 Jun 1960,19 Nov 1968,Sudanese Union – African Democratic Rally
Mali,Presidents,2,Moussa Traoré,19 Nov 1968,26 Mar 1991,Military
Mali,Presidents,3,Amadou Toumani Touré,26 Mar 1991,8 Jun 1992,Military
Mali,Presidents,4,Alpha Oumar Konaré,8 Jun 1992,8 Jun 2002,Alliance for Democracy in Mali
Mali,Presidents,5,Amadou Toumani Touré,8 Jun 2002,22 Mar 2012,Independent
Mali,Presidents,6,Dioncounda Traoré,12 Apr 2012,4 Sep 2013,Alliance for Democracy in Mali
Mali,Presidents,7,Ibrahim Boubacar Keita,4 Sep 2013,18 Aug 2020,Rally for Mali
Mali,Presidents,8,Assimi Goïta,18 Aug 2020,Present,Military
Niger,Presidents,1,Hamani Diori,10 Nov 1960,15 Apr 1974,Progressive Party of Niger
Niger,Presidents,2,Seyni Kountché,17 Apr 1974,10 Nov 1987,Military
Niger,Presidents,3,Ali Saïbou,14 Nov 1987,16 Apr 1993,Military
Niger,Presidents,4,Mahamane Ousmane,16 Apr 1993,27 Jan 1996,Democratic and Social Convention
Niger,Presidents,5,Ibrahim Baré Maïnassara,27 Jan 1996,9 Apr 1999,Military
Niger,Presidents,6,Daouda Malam Wanké,11 Apr 1999,22 Dec 1999,Military
