number,category,subcategory,english,germany,korean
58,Core Function Words,Conjunctions,while,während,동안
59,Core Function Words,Conjunctions,though,obwohl,에도 불구하고
60,Core Function Words,Conjunctions,since,seit/da,이래로/때문에
61,Core Function Words,Auxiliary verbs,be,sein,이다/있다
62,Core Function Words,Auxiliary verbs,do,tun/machen,하다
63,Core Function Words,Auxiliary verbs,have,haben,가지다
64,Core Function Words,Auxiliary verbs,am,bin,이다
65,Core Function Words,Auxiliary verbs,is,ist,이다
66,Core Function Words,Auxiliary verbs,are,sind,이다
67,Core Function Words,Auxiliary verbs,was,war,이었다
68,Core Function Words,Auxiliary verbs,were,waren,이었다
69,Core Function Words,Auxiliary verbs,been,gewesen,었다
70,Core Function Words,Auxiliary verbs,being,seiend,존재
71,Core Function Words,Modals,can,kann,할 수 있다
72,Core Function Words,Modals,could,könnte,할 수 있었다
73,Core Function Words,Modals,will,wird,할 것이다
74,Core Function Words,Modals,would,würde,할 것이다
75,Core Function Words,Modals,shall,soll,해야 한다
76,Core Function Words,Modals,should,sollte,해야 한다
77,Core Function Words,Modals,may,darf,해도 된다
78,Core Function Words,Modals,might,könnte,할지도 모른다
79,Core Function Words,Modals,must,muss,해야만 한다
80,Core Function Words,Modals,ought,sollte,해야 한다
81,Core Function Words,Quantifiers,some,einige,약간의
82,Core Function Words,Quantifiers,many,viele,많은
83,Core Function Words,Quantifiers,few,wenige,적은
84,Core Function Words,Quantifiers,much,viel,많은
85,Core Function Words,Quantifiers,little,wenig,작은/적은
86,Core Function Words,Quantifiers,most,die meisten,대부분의
87,Core Function Words,Quantifiers,several,mehrere,여러
88,Core Function Words,Quantifiers,no,kein,없는
89,Core Function Words,Quantifiers,any,irgendwelche,어떤
90,Core Function Words,Quantifiers,both,beide,둘 다
91,Core Function Words,Particles / fillers,just,nur/gerade,그냥
92,Core Function Words,Particles / fillers,even,sogar,심지어
93,Core Function Words,Particles / fillers,already,bereits,이미
94,Core Function Words,Particles / fillers,still,noch,여전히
95,Core Function Words,Particles / fillers,well,gut/nun,잘/음
96,Core Function Words,Particles / fillers,now,jetzt,지금
97,Core Function Words,Particles / fillers,then,dann,그때
98,Core Function Words,Particles / fillers,very,sehr,매우
99,Core Function Words,Particles / fillers,too,zu/auch,너무/또한
100,Core Function Words,Particles / fillers,also,auch,또한
101,Common Verbs,Basic actions,eat,essen,먹다
102,Common Verbs,Basic actions,drink,trinken,마시다
103,Common Verbs,Basic actions,go,gehen,가다
104,Common Verbs,Basic actions,come,kommen,오다
105,Common Verbs,Basic actions,do,tun,하다
106,Common Verbs,Basic actions,make,machen,만들다
107,Common Verbs,Basic actions,get,bekommen,얻다
108,Common Verbs,Basic actions,take,nehmen,가지다
109,Common Verbs,Basic actions,give,geben,주다
110,Common Verbs,Basic actions,keep,behalten,유지하다
111,Common Verbs,Movement,walk,gehen/laufen,걷다
112,Common Verbs,Movement,run,rennen,달리다
113,Common Verbs,Movement,travel,reisen,여행하다
114,Common Verbs,Movement,fly,fliegen,날다
115,Common Verbs,Movement,drive,fahren,운전하다
116,Common Verbs,Movement,ride,reiten/fahren,타다
117,Common Verbs,Movement,swim,schwimmen,수영하다
118,Common Verbs,Movement,jump,springen,뛰다
119,Common Verbs,Movement,climb,klettern,오르다
120,Common Verbs,Movement,shake,schütteln,흔들다
121,Common Verbs,Communication,say,sagen,말하다
122,Common Verbs,Communication,tell,erzählen,말해주다
123,Common Verbs,Communication,ask,fragen,묻다
124,Common Verbs,Communication,speak,sprechen,말하다
125,Common Verbs,Communication,talk,reden,이야기하다
126,Common Verbs,Communication,shout,schreien,외치다
127,Common Verbs,Communication,whisper,flüstern,속삭이다
128,Common Verbs,Communication,call,rufen/anrufen,부르다/전화하다
129,Common Verbs,Communication,write,schreiben,쓰다
130,Common Verbs,Communication,read,lesen,읽다
131,Common Verbs,Thinking,think,denken,생각하다
132,Common Verbs,Thinking,know,wissen,알다
133,Common Verbs,Thinking,believe,glauben,믿다
134,Common Verbs,Thinking,understand,verstehen,이해하다
135,Common Verbs,Thinking,remember,erinnern,기억하다
136,Common Verbs,Thinking,forget,vergessen,잊다
137,Common Verbs,Thinking,mean,bedeuten,의미하다
138,Common Verbs,Thinking,suppose,vermuten,가정하다
139,Common Verbs,Thinking,guess,raten,추측하다
140,Common Verbs,Thinking,wonder,wundern,궁금해하다
141,Common Verbs,Emotion,love,lieben,사랑하다
142,Common Verbs,Emotion,hate,hassen,미워하다
143,Common Verbs,Emotion,like,mögen,좋아하다
144,Common Verbs,Emotion,want,wollen,원하다
145,Common Verbs,Emotion,hope,hoffen,바라다
146,Common Verbs,Emotion,fear,fürchten,두려워하다
147,Common Verbs,Emotion,enjoy,genießen,즐기다
148,Common Verbs,Emotion,prefer,bevorzugen,선호하다
149,Common Verbs,Emotion,miss,vermissen,그리워하다
150,Common Verbs,Emotion,worry,sorgen,걱정하다
151,Common Verbs,Daily routine,wake,aufwachen,깨다
152,Common Verbs,Daily routine,sleep,schlafen,자다
153,Common Verbs,Daily routine,work,arbeiten,일하다
154,Common Verbs,Daily routine,play,spielen,놀다
155,Common Verbs,Daily routine,wash,waschen,씻다
156,Common Verbs,Daily routine,clean,putzen,청소하다
157,Common Verbs,Daily routine,cook,kochen,요리하다
158,Common Verbs,Daily routine,brush,bürsten,닦다
159,Common Verbs,Daily routine,dress,anziehen,옷을 입다
160,Common Verbs,Daily routine,relax,entspannen,쉬다
161,Common Verbs,Work/study,learn,lernen,배우다
162,Common Verbs,Work/study,write,schreiben,쓰다
163,Common Verbs,Work/study,read,lesen,읽다
164,Common Verbs,Work/study,study,studieren,공부하다
165,Common Verbs,Work/study,teach,lehren,가르치다
166,Common Verbs,Work/study,test,prüfen,시험하다
167,Common Verbs,Work/study,check,prüfen,확인하다
168,Common Verbs,Work/study,point,zeigen,가리키다
169,Common Verbs,Work/study,finish,beenden,끝내다
170,Common Verbs,Work/study,start,beginnen,시작하다
171,Common Verbs,Social,meet,treffen,만나다
172,Common Verbs,Social,call,anrufen,전화하다
173,Common Verbs,Social,invite,einladen,초대하다
174,Common Verbs,Social,help,helfen,돕다
175,Common Verbs,Social,visit,besuchen,방문하다
176,Common Verbs,Social,share,teilen,공유하다
177,Common Verbs,Social,agree,zustimmen,동의하다
178,Common Verbs,Social,allow,erlauben,허용하다
179,Common Verbs,Social,promise,versprechen,약속하다
180,Common Verbs,Social,thank,danken,감사하다
181,Common Verbs,Change,start,beginnen,시작하다
182,Common Verbs,Change,stop,stoppen,멈추다
183,Common Verbs,Change,build,bauen,짓다
184,Common Verbs,Change,break,brechen,부수다
185,Common Verbs,Change,change,ändern,변화하다
186,Common Verbs,Change,grow,wachsen,성장하다
187,Common Verbs,Change,become,werden,되다
188,Common Verbs,Change,happen,geschehen,일어나다
189,Common Verbs,Change,create,erschaffen,창조하다
190,Common Verbs,Change,fix,reparieren,고치다
191,Common Verbs,Helper phrases,try,versuchen,시도하다
192,Common Verbs,Helper phrases,plan,planen,계획하다
193,Common Verbs,Helper phrases,decide,entscheiden,결정하다
194,Common Verbs,Helper phrases,choose,wählen,선택하다
195,Common Verbs,Helper phrases,need,brauchen,필요하다
196,Common Verbs,Helper phrases,seem,scheinen,보이다
197,Common Verbs,Helper phrases,look,schauen,보다
198,Common Verbs,Helper phrases,sound,klingen,들리다
199,Common Verbs,Helper phrases,feel,fühlen,느끼다
200,Common Verbs,Helper phrases,appear,erscheinen,나타나다
201,Everyday Nouns – People & Life,Family,mother,Mutter,어머니
202,Everyday Nouns – People & Life,Family,father,Vater,아버지
203,Everyday Nouns – People & Life,Family,parent,Elternteil,부모
204,Everyday Nouns – People & Life,Family,brother,Bruder,형제
205,Everyday Nouns – People & Life,Family,sister,Schwester,자매
206,Everyday Nouns – People & Life,Family,son,Sohn,아들
207,Everyday Nouns – People & Life,Family,daughter,Tochter,딸
208,Everyday Nouns – People & Life,Family,baby,Baby,아기
209,Everyday Nouns – People & Life,Family,grandfather,Großvater,할아버지
210,Everyday Nouns – People & Life,Family,grandmother,Großmutter,할머니
211,Everyday Nouns – People & Life,Relationships,friend,Freund,친구
212,Everyday Nouns – People & Life,Relationships,partner,Partner,동반자
213,Everyday Nouns – People & Life,Relationships,wife,Ehefrau,아내
214,Everyday Nouns – People & Life,Relationships,husband,Ehemann,남편
215,Everyday Nouns – People & Life,Relationships,neighbor,Nachbar,이웃
216,Everyday Nouns – People & Life,Relationships,enemy,Feind,적
217,Everyday Nouns – People & Life,Relationships,couple,Paar,커플
218,Everyday Nouns – People & Life,Relationships,group,Gruppe,그룹
219,Everyday Nouns – People & Life,Relationships,community,Gemeinschaft,지역사회
220,Everyday Nouns – People & Life,Relationships,team,Team,팀
221,Everyday Nouns – People & Life,Jobs,teacher,Lehrer,선생님
222,Everyday Nouns – People & Life,Jobs,doctor,Arzt,의사
223,Everyday Nouns – People & Life,Jobs,nurse,Krankenschwester,간호사
224,Everyday Nouns – People & Life,Jobs,pilot,Pilot,조종사
225,Everyday Nouns – People & Life,Jobs,driver,Fahrer,운전사
226,Everyday Nouns – People & Life,Jobs,engineer,Ingenieur,엔지니어
227,Everyday Nouns – People & Life,Jobs,worker,Arbeiter,노동자
228,Everyday Nouns – People & Life,Jobs,artist,Künstler,예술가
229,Everyday Nouns – People & Life,Jobs,farmer,Bauer,농부
230,Everyday Nouns – People & Life,Jobs,cook,Koch,요리사
231,Everyday Nouns – People & Life,Roles,boss,Chef,상사
232,Everyday Nouns – People & Life,Roles,student,Student/Schüler,학생
233,Everyday Nouns – People & Life,Roles,leader,Anführer,지도자
234,Everyday Nouns – People & Life,Roles,captain,Kapitän,선장
235,Everyday Nouns – People & Life,Roles,member,Mitglied,회원
236,Everyday Nouns – People & Life,Roles,guest,Gast,손님
237,Everyday Nouns – People & Life,Roles,client,Klient,고객
238,Everyday Nouns – People & Life,Roles,player,Spieler,선수
239,Everyday Nouns – People & Life,Roles,expert,Experte,전문가
240,Everyday Nouns – People & Life,Roles,beginner,Anfänger,초보자
241,Everyday Nouns – People & Life,Body parts,hand,Hand,손
242,Everyday Nouns – People & Life,Body parts,head,Kopf,머리
243,Everyday Nouns – People & Life,Body parts,eye,Auge,눈
244,Everyday Nouns – People & Life,Body parts,ear,Ohr,귀
245,Everyday Nouns – People & Life,Body parts,nose,Nase,코
246,Everyday Nouns – People & Life,Body parts,mouth,Mund,입
247,Everyday Nouns – People & Life,Body parts,arm,Arm,팔
248,Everyday Nouns – People & Life,Body parts,leg,Bein,다리
249,Everyday Nouns – People & Life,Body parts,foot,Fuß,발
250,Everyday Nouns – People & Life,Body parts,body,Körper,몸
251,Everyday Nouns – People & Life,Health,pain,Schmerz,통증
252,Everyday Nouns – People & Life,Health,fever,Fieber,열
253,Everyday Nouns – People & Life,Health,cold,Erkältung,감기
254,Everyday Nouns – People & Life,Health,medicine,Medizin,약
255,Everyday Nouns – People & Life,Health,hospital,Krankenhaus,병원
256,Everyday Nouns – People & Life,Health,clinic,Klinik,진료소
257,Everyday Nouns – People & Life,Health,health,Gesundheit,건강
258,Everyday Nouns – People & Life,Health,doctor,Arzt,의사
259,Everyday Nouns – People & Life,Health,pill,Pille,알약
260,Everyday Nouns – People & Life,Health,rest,Ruhe,휴식
261,Everyday Nouns – People & Life,Life stages,child,Kind,아이
262,Everyday Nouns – People & Life,Life stages,adult,Erwachsener,성인
263,Everyday Nouns – People & Life,Life stages,young,jung,어린
264,Everyday Nouns – People & Life,Life stages,old,alt,나이 든
265,Everyday Nouns – People & Life,Life stages,teenager,Teenager,십대
266,Everyday Nouns – People & Life,Life stages,senior,Senior,어르신
267,Everyday Nouns – People & Life,Life stages,birth,Geburt,탄생
268,Everyday Nouns – People & Life,Life stages,death,Tod,죽음
269,Everyday Nouns – People & Life,Life stages,life,Leben,삶
270,Everyday Nouns – People & Life,Life stages,future,Zukunft,미래
271,Everyday Nouns – People & Life,Personality,hero,Held,영웅
272,Everyday Nouns – People & Life,Personality,leader,Anführer,지도자
273,Everyday Nouns – People & Life,Personality,brave,mutig,용감한
274,Everyday Nouns – People & Life,Personality,kind,nett,친절한
275,Everyday Nouns – People & Life,Personality,smart,intelligent,똑똑한
276,Everyday Nouns – People & Life,Personality,funny,lustig,재미있는
277,Everyday Nouns – People & Life,Personality,honest,ehrlich,정직한
278,Everyday Nouns – People & Life,Personality,strong,stark,강한
279,Everyday Nouns – People & Life,Personality,weak,schwach,약한
280,Everyday Nouns – People & Life,Personality,calm,ruhig,차분한
281,Everyday Nouns – People & Life,Social,neighbor,Nachbar,이웃
282,Everyday Nouns – People & Life,Social,guest,Gast,손님
283,Everyday Nouns – People & Life,Social,crowd,Menge,군중
284,Everyday Nouns – People & Life,Social,person,Person,사람
285,Everyday Nouns – People & Life,Social,human,Mensch,인간
286,Everyday Nouns – People & Life,Social,people,Leute,사람들
287,Everyday Nouns – People & Life,Social,man,Mann,남자
288,Everyday Nouns – People & Life,Social,woman,Frau,여자
289,Everyday Nouns – People & Life,Social,boy,Junge,소년
290,Everyday Nouns – People & Life,Social,girl,Mädchen,소녀
291,Everyday Nouns – People & Life,Abstract people,someone,jemand,누군가
292,Everyday Nouns – People & Life,Abstract people,nobody,niemand,아무도
293,Everyday Nouns – People & Life,Abstract people,everyone,jeder,모든 사람
294,Everyday Nouns – People & Life,Abstract people,anyone,jemand,누구든지
295,Everyday Nouns – People & Life,Abstract people,anybody,jemand,누구든지
296,Everyday Nouns – People & Life,Abstract people,somebody,jemand,누군가
297,Everyday Nouns – People & Life,Abstract people,no one,niemand,아무도 없음
298,Everyday Nouns – People & Life,Abstract people,everybody,alle,모두
299,Everyday Nouns – People & Life,Abstract people,them,sie,그들
300,Everyday Nouns – People & Life,Abstract people,us,uns,우리
301,Everyday Nouns – Objects & Places,Home,bed,Bett,침대
302,Everyday Nouns – Objects & Places,Home,table,Tisch,테이블
303,Everyday Nouns – Objects & Places,Home,chair,Stuhl,의자
304,Everyday Nouns – Objects & Places,Home,door,Tür,문
305,Everyday Nouns – Objects & Places,Home,window,Fenster,창문
306,Everyday Nouns – Objects & Places,Home,floor,Boden,바닥
307,Everyday Nouns – Objects & Places,Home,wall,Wand,벽
308,Everyday Nouns – Objects & Places,Home,room,Zimmer,방
309,Everyday Nouns – Objects & Places,Home,house,Haus,집
310,Everyday Nouns – Objects & Places,Home,light,Licht,빛/전등
311,Everyday Nouns – Objects & Places,Kitchen,spoon,Löffel,스푼
312,Everyday Nouns – Objects & Places,Kitchen,plate,Teller,접시
313,Everyday Nouns – Objects & Places,Kitchen,fork,Gabel,포크
314,Everyday Nouns – Objects & Places,Kitchen,knife,Messer,칼
315,Everyday Nouns – Objects & Places,Kitchen,cup,Tasse,컵
316,Everyday Nouns – Objects & Places,Kitchen,bowl,Schüssel,그릇
317,Everyday Nouns – Objects & Places,Kitchen,stove,Herd,가스레인지
318,Everyday Nouns – Objects & Places,Kitchen,fridge,Kühlschrank,냉장고
319,Everyday Nouns – Objects & Places,Kitchen,pot,Topf,냄비
320,Everyday Nouns – Objects & Places,Kitchen,pan,Pfanne,팬
321,Everyday Nouns – Objects & Places,Technology,phone,Telefon,전화기
322,Everyday Nouns – Objects & Places,Technology,laptop,Laptop,노트북
323,Everyday Nouns – Objects & Places,Technology,computer,Computer,컴퓨터
324,Everyday Nouns – Objects & Places,Technology,internet,Internet,인터넷
325,Everyday Nouns – Objects & Places,Technology,screen,Bildschirm,화면
326,Everyday Nouns – Objects & Places,Technology,keyboard,Tastatur,키보드
327,Everyday Nouns – Objects & Places,Technology,mouse,Maus,마우스
328,Everyday Nouns – Objects & Places,Technology,charger,Ladegerät,충전기
329,Everyday Nouns – Objects & Places,Technology,battery,Batterie,배터리
330,Everyday Nouns – Objects & Places,Technology,camera,Kamera,카메라
331,Everyday Nouns – Objects & Places,School,book,Buch,책
332,Everyday Nouns – Objects & Places,School,pen,Stift,펜
333,Everyday Nouns – Objects & Places,School,pencil,Bleistift,연필
334,Everyday Nouns – Objects & Places,School,paper,Papier,종이
335,Everyday Nouns – Objects & Places,School,notebook,Notizbuch,노트
336,Everyday Nouns – Objects & Places,School,classroom,Klassenzimmer,교실
337,Everyday Nouns – Objects & Places,School,student,Student,학생
338,Everyday Nouns – Objects & Places,School,teacher,Lehrer,선생님
339,Everyday Nouns – Objects & Places,School,desk,Schreibtisch,책상
340,Everyday Nouns – Objects & Places,School,blackboard,Tafel,칠판
341,Everyday Nouns – Objects & Places,Office,desk,Schreibtisch,책상
342,Everyday Nouns – Objects & Places,Office,file,Datei,파일
343,Everyday Nouns – Objects & Places,Office,folder,Ordner,폴더
344,Everyday Nouns – Objects & Places,Office,email,E-Mail,이메일
345,Everyday Nouns – Objects & Places,Office,meeting,Meeting,회의
346,Everyday Nouns – Objects & Places,Office,project,Projekt,프로젝트
347,Everyday Nouns – Objects & Places,Office,report,Bericht,보고서
348,Everyday Nouns – Objects & Places,Office,printer,Drucker,프린터
349,Everyday Nouns – Objects & Places,Office,paperclip,Büroklammer,클립
350,Everyday Nouns – Objects & Places,Office,stapler,Hefter,스테이플러
351,Everyday Nouns – Objects & Places,Buildings,house,Haus,집
352,Everyday Nouns – Objects & Places,Buildings,store,Laden,가게
353,Everyday Nouns – Objects & Places,Buildings,shop,Geschäft,상점
354,Everyday Nouns – Objects & Places,Buildings,office,Büro,사무실
355,Everyday Nouns – Objects & Places,Buildings,bank,Bank,은행
356,Everyday Nouns – Objects & Places,Buildings,library,Bibliothek,도서관
357,Everyday Nouns – Objects & Places,Buildings,museum,Museum,박물관
358,Everyday Nouns – Objects & Places,Buildings,hotel,Hotel,호텔
359,Everyday Nouns – Objects & Places,Buildings,restaurant,Restaurant,레스토랑
360,Everyday Nouns – Objects & Places,Buildings,station,Bahnhof,역
361,Everyday Nouns – Objects & Places,City,road,Straße,도로
362,Everyday Nouns – Objects & Places,City,park,Park,공원
363,Everyday Nouns – Objects & Places,City,street,Straße,거리
364,Everyday Nouns – Objects & Places,City,bridge,Brücke,다리
365,Everyday Nouns – Objects & Places,City,river,Fluss,강
366,Everyday Nouns – Objects & Places,City,center,Zentrum,중심
367,Everyday Nouns – Objects & Places,City,square,Platz,광장
368,Everyday Nouns – Objects & Places,City,garden,Garten,정원
369,Everyday Nouns – Objects & Places,City,market,Markt,시장
370,Everyday Nouns – Objects & Places,City,area,Bereich,지역
371,Everyday Nouns – Objects & Places,Transport,bus,Bus,버스
372,Everyday Nouns – Objects & Places,Transport,train,Zug,기차
373,Everyday Nouns – Objects & Places,Transport,car,Auto,자동차
374,Everyday Nouns – Objects & Places,Transport,bicycle,Fahrrad,자전거
375,Everyday Nouns – Objects & Places,Transport,plane,Flugzeug,비행기
376,Everyday Nouns – Objects & Places,Transport,boat,Boot,보트
377,Everyday Nouns – Objects & Places,Transport,ship,Schiff,배
378,Everyday Nouns – Objects & Places,Transport,taxi,Taxi,택시
379,Everyday Nouns – Objects & Places,Transport,ticket,Ticket,티켓
380,Everyday Nouns – Objects & Places,Transport,station,Station,정류장/역
381,Everyday Nouns – Objects & Places,Nature,tree,Baum,나무
382,Everyday Nouns – Objects & Places,Nature,river,Fluss,강
383,Everyday Nouns – Objects & Places,Nature,mountain,Berg,산
384,Everyday Nouns – Objects & Places,Nature,sea,Meer,바다
385,Everyday Nouns – Objects & Places,Nature,ocean,Ozean,대양
386,Everyday Nouns – Objects & Places,Nature,flower,Blume,꽃
387,Everyday Nouns – Objects & Places,Nature,sun,Sonne,태양
388,Everyday Nouns – Objects & Places,Nature,moon,Mond,달
389,Everyday Nouns – Objects & Places,Nature,star,Stern,별
390,Everyday Nouns – Objects & Places,Nature,earth,Erde,지구
391,Everyday Nouns – Objects & Places,Misc objects,box,Box,상자
392,Everyday Nouns – Objects & Places,Misc objects,key,Schlüssel,열쇠
393,Everyday Nouns – Objects & Places,Misc objects,bag,Tasche,가방
394,Everyday Nouns – Objects & Places,Misc objects,clock,Uhr,시계
395,Everyday Nouns – Objects & Places,Misc objects,watch,Armbanduhr,손목시계
396,Everyday Nouns – Objects & Places,Misc objects,mirror,Spiegel,거울
397,Everyday Nouns – Objects & Places,Misc objects,wallet,Brieftasche,지갑
398,Everyday Nouns – Objects & Places,Misc objects,card,Karte,카드
399,Everyday Nouns – Objects & Places,Misc objects,coin,Münze,동전
400,Everyday Nouns – Objects & Places,Misc objects,brush,Bürste,브러시
401,Adjectives,Size,big,groß,큰
402,Adjectives,Size,small,klein,작은
403,Adjectives,Size,large,groß,거대한/큰
404,Adjectives,Size,tiny,winzig,아주 작은
405,Adjectives,Size,huge,riesig,거대한
406,Adjectives,Size,wide,weit,넓은
407,Adjectives,Size,narrow,eng,좁은
408,Adjectives,Size,tall,hoch/groß,키가 큰
409,Adjectives,Size,short,kurz/klein,짧은/키가 작은
410,Adjectives,Size,long,lang,긴
411,Adjectives,Quality,good,gut,좋은
412,Adjectives,Quality,bad,schlecht,나쁜
413,Adjectives,Quality,great,großartig,대단한
414,Adjectives,Quality,nice,nett,멋진/친절한
415,Adjectives,Quality,terrible,schrecklich,끔찍한
416,Adjectives,Quality,excellent,ausgezeichnet,뛰어난
417,Adjectives,Quality,poor,arm/schlecht,가난한/형편없는
418,Adjectives,Quality,perfect,perfekt,완벽한
419,Adjectives,Quality,okay,okay,괜찮은
420,Adjectives,Quality,fine,gut/fein,좋은/미세한
421,Adjectives,Speed,fast,schnell,빠른
422,Adjectives,Speed,slow,langsam,느린
423,Adjectives,Speed,quick,schnell,신속한
424,Adjectives,Speed,rapid,schnell,급속한
425,Adjectives,Speed,steady,stetig,꾸준한
426,Adjectives,Speed,sudden,plötzlich,갑작스러운
427,Adjectives,Speed,immediate,sofortig,즉각적인
428,Adjectives,Speed,brief,kurz,잠깐의
429,Adjectives,Speed,long,lang,긴
430,Adjectives,Speed,short,kurz,짧은
431,Adjectives,Emotion,happy,glücklich,행복한
432,Adjectives,Emotion,sad,traurig,슬픈
433,Adjectives,Emotion,angry,wütend,화난
434,Adjectives,Emotion,scared,verängstigt,무서워하는
435,Adjectives,Emotion,excited,aufgeregt,신난
436,Adjectives,Emotion,bored,gelangweilt,지루한
437,Adjectives,Emotion,calm,ruhig,차분한
438,Adjectives,Emotion,nervous,nervös,긴장한
439,Adjectives,Emotion,tired,müde,피곤한
440,Adjectives,Emotion,surprised,überrascht,놀란
441,Adjectives,Physical,hot,heiß,뜨거운
442,Adjectives,Physical,cold,kalt,추운
443,Adjectives,Physical,warm,warm,따뜻한
444,Adjectives,Physical,cool,kühl,시원한
445,Adjectives,Physical,dry,trocken,건조한
446,Adjectives,Physical,wet,nass,젖은
447,Adjectives,Physical,soft,weich,부드러운
448,Adjectives,Physical,hard,hart,딱딱한
449,Adjectives,Physical,smooth,glatt,매끄러운
450,Adjectives,Physical,rough,rau,거친
451,Adjectives,Difficulty,easy,einfach,쉬운
452,Adjectives,Difficulty,hard,schwer,어려운
453,Adjectives,Difficulty,difficult,schwierig,어려운
454,Adjectives,Difficulty,simple,einfach,단순한
455,Adjectives,Difficulty,complex,komplex,복잡한
456,Adjectives,Difficulty,clear,klar,명확한
457,Adjectives,Difficulty,tough,zäh/hart,힘든
458,Adjectives,Difficulty,heavy,schwer,무거운
459,Adjectives,Difficulty,light,leicht,가벼운
460,Adjectives,Difficulty,possible,möglich,가능한
461,Adjectives,Appearance,beautiful,schön,아름다운
462,Adjectives,Appearance,ugly,hässlich,못생긴
463,Adjectives,Appearance,clean,sauber,깨끗한
464,Adjectives,Appearance,dirty,schmutzig,더러운
465,Adjectives,Appearance,straight,gerade,직선의/똑바른
466,Adjectives,Appearance,curly,lockig,곱슬거리는
467,Adjectives,Appearance,bright,hell,밝은
468,Adjectives,Appearance,dark,dunkel,어두운
469,Adjectives,Appearance,colorful,bunt,다채로운
470,Adjectives,Appearance,pale,blass,창백한
471,Adjectives,Age,new,neu,새로운
472,Adjectives,Age,old,alt,오래된/나이 든
473,Adjectives,Age,young,jung,어린
474,Adjectives,Age,recent,kürzlich,최근의
475,Adjectives,Age,modern,modern,현대적인
476,Adjectives,Age,ancient,alt/antik,고대의
477,Adjectives,Age,early,früh,이른
478,Adjectives,Age,late,spät,늦은
479,Adjectives,Age,past,vergangen,과거의
480,Adjectives,Age,future,zukünftig,미래의
481,Adjectives,Importance,important,wichtig,중요한
482,Adjectives,Importance,trivial,trivial,사소한
483,Adjectives,Importance,main,Haupt-,주요한
484,Adjectives,Importance,major,groß/wichtig,중대한
485,Adjectives,Importance,minor,klein/unwichtig,사소한/부차적인
486,Adjectives,Importance,special,speziell,특별한
487,Adjectives,Importance,normal,normal,일반적인
488,Adjectives,Importance,common,häufig/gemeinsam,흔한
489,Adjectives,Importance,rare,selten,희귀한
490,Adjectives,Importance,necessary,notwendig,필요한
491,Adjectives,Quantity,full,voll,가득 찬
492,Adjectives,Quantity,empty,leer,비어 있는
