id,title,year,description,category,region,difficulty,source
europe-munich-massacre-1972,Munich Olympics Massacre,1972,Terrorists killed Israeli athletes.,politics,europe,3,britannica
europe-kraftwerk-1974,Kraftwerk's Autobahn,1974,The album made electronic music mainstream.,music,europe,5,britannica
europe-world-cup-1974,World Cup Won,1974,West Germany won the World Cup.,sports,europe,4,britannica
europe-kohl-chancellor-1982,Kohl Becomes Chancellor,1982,Helmut Kohl took office.,politics,europe,5,britannica
europe-berlin-wall-falls-1989,Berlin Wall Falls,1989,East Germans streamed into the West.,politics,europe,1,britannica
europe-reunification-1990,German Reunification,1990,East and West Germany united.,politics,europe,2,britannica
europe-berlin-capital-1991,Berlin Becomes Capital,1991,The Bundestag chose Berlin.,politics,europe,4,britannica
europe-euro-2002,Euro Adopted,2002,Germany adopted the euro.,politics,europe,4,britannica
europe-merkel-2005,Merkel Becomes Chancellor,2005,Angela Merkel took office.,politics,europe,3,britannica
europe-world-cup-2006,World Cup Hosted,2006,Germany hosted the World Cup.,sports,europe,3,britannica
europe-refugee-policy-2015,Refugee Policy,2015,Germany opened its doors to refugees.,politics,europe,4,britannica
