sport,gender,competition_tour,competition_type,competition,competition_area,season,month,host_city,host_state,host_country,champion,champion_conference,champion_score,champion_manager,champion_manager_country,runner_up,runner_up_conference,runner_up_score,host_venue,attendance,third_place,third_place_conference,fourth_place,number_of_teams
Basketball,male,,,NBA,United States,1989,,,,United States,Detroit Pistons,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1990,,,,United States,Detroit Pistons,eastern,,,,Portland Trail Blazers,western,,,,,,,
Basketball,male,,,NBA,United States,1991,,,,United States,Chicago Bulls,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,1992,,,,United States,Chicago Bulls,eastern,,,,Portland Trail Blazers,western,,,,,,,
Basketball,male,,,NBA,United States,1993,,,,United States,Chicago Bulls,eastern,,,,Phoenix Suns,western,,,,,,,
Basketball,male,,,NBA,United States,1994,,,,United States,Houston Rockets,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,1995,,,,United States,Houston Rockets,western,,,,Orlando Magic,eastern,,,,,,,
Basketball,male,,,NBA,United States,1996,,,,United States,Chicago Bulls,eastern,,,,Oklahoma City Thunder,western,,,,,,,
Basketball,male,,,NBA,United States,1997,,,,United States,Chicago Bulls,eastern,,,,Utah Jazz,western,,,,,,,
Basketball,male,,,NBA,United States,1998,,,,United States,Chicago Bulls,eastern,,,,Utah Jazz,western,,,,,,,
Basketball,male,,,NBA,United States,1999,,,,United States,San Antonio Spurs,western,,,,New York Knicks,eastern,,,,,,,
Basketball,male,,,NBA,United States,2000,,,,United States,Los Angeles Lakers,western,,,,Indiana Pacers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2001,,,,United States,Los Angeles Lakers,western,,,,Philadelphia 76ers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2002,,,,United States,Los Angeles Lakers,western,,,,Brooklyn Nets,eastern,,,,,,,
Basketball,male,,,NBA,United States,2003,,,,United States,San Antonio Spurs,western,,,,Brooklyn Nets,eastern,,,,,,,
Basketball,male,,,NBA,United States,2004,,,,United States,Detroit Pistons,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,2005,,,,United States,San Antonio Spurs,western,,,,Detroit Pistons,eastern,,,,,,,
Basketball,male,,,NBA,United States,2006,,,,United States,Miami Heat,eastern,,,,Dallas Mavericks,western,,,,,,,
Basketball,male,,,NBA,United States,2007,,,,United States,San Antonio Spurs,western,,,,Cleveland Cavaliers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2008,,,,United States,Boston Celtics,eastern,,,,Los Angeles Lakers,western,,,,,,,
Basketball,male,,,NBA,United States,2009,,,,United States,Los Angeles Lakers,western,,,,Orlando Magic,eastern,,,,,,,
Basketball,male,,,NBA,United States,2010,,,,United States,Los Angeles Lakers,western,,,,Boston Celtics,eastern,,,,,,,
Basketball,male,,,NBA,United States,2011,,,,United States,Dallas Mavericks,western,,,,Miami Heat,eastern,,,,,,,
Basketball,male,,,NBA,United States,2012,,,,United States,Miami Heat,eastern,,,,Oklahoma City Thunder,western,,,,,,,
Basketball,male,,,NBA,United States,2013,,,,United States,Miami Heat,eastern,,,,San Antonio Spurs,western,,,,,,,
Basketball,male,,,NBA,United States,2014,,,,United States,San Antonio Spurs,western,,,,Miami Heat,eastern,,,,,,,
Basketball,male,,,NBA,United States,2015,,,,United States,Golden State Warriors,western,,,,Cleveland Cavaliers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2016,,,,United States,Cleveland Cavaliers,eastern,,,,Golden State Warriors,western,,,,,,,
Basketball,male,,,NBA,United States,2017,,,,United States,Golden State Warriors,western,,,,Cleveland Cavaliers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2018,,,,United States,Golden State Warriors,western,,,,Cleveland Cavaliers,eastern,,,,,,,
Basketball,male,,,NBA,United States,2019,,,,United States,Toronto Raptors,eastern,,,,Golden State Warriors,western,,,,,,,
Basketball,male,,,NBA,United States,2020,,,,United States,Los Angeles Lakers,western,,,,Miami Heat,eastern,,,,,,,
Basketball,male,,,NBA,United States,2021,,,,United States,Milwaukee Bucks,eastern,,,,Phoenix Suns,western,,,,,,,
Basketball,male,,,NBA,United States,2022,,,,United States,Golden State Warriors,western,,,,Boston Celtics,eastern,,,,,,,
Chess,,Speed Chess Championship,bullet,Bullet Chess Championship,,2021,,,,,Alireza Firouzja,France,,,,,,,,,,,,
Chess,,Speed Chess Championship,bullet,Bullet Chess Championship,,2022,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Speed Chess Championship,bullet,Bullet Chess Championship,,2023,,,,,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2013,,London,,England,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2014,,Khanty-Mansiysk,,Russia,Viswanathan Anand,India,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2016,,Moscow,,Russia,Sergey Karjakin,Russia,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2018,,Berlin,,Germany,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2020,,Yekaterinburg,,Russia,Ian Nepomniachtchi,Russia,,,,,,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2022,,Madrid,,Spain,Ian Nepomniachtchi,Russia,,,,Ding Liren,China,,,,,,,
Chess,,World Championship,classical,Candidates Tournament,,2024,,,,,,,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1928,,Dortmund,,Germany,Fritz Sämisch,Germany,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1951,,Dortmund,,Germany,Albéric O'Kelly de Galway,Belgium,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1961,,Dortmund,,Germany,Mark Taimanov,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1973,,Dortmund,,Germany,Heikki Westerinen,Finland,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1974,,Dortmund,,Germany,László Szabó,Hungary,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1975,,Dortmund,,Germany,Heikki Westerinen,Finland,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1976,,Dortmund,,Germany,Oleg Romanishin,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1977,,Dortmund,,Germany,Jan Smejkal,Czech Republic,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1978,,Dortmund,,Germany,Ulf Andersson,Sweden,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1979,,Dortmund,,Germany,Tamaz Giorgadze,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1980,,Dortmund,,Germany,Raymond Keene,England,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1981,,Dortmund,,Germany,Gennady Kuzmin,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1982,,Dortmund,,Germany,Vlastimil Hort,Czech Republic,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1983,,Dortmund,,Germany,Mihai Suba,Romania,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1984,,Dortmund,,Germany,Yehuda Gruenfeld,Israel,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1985,,Dortmund,,Germany,Yuri Razuvayev,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1986,,Dortmund,,Germany,Zoltán Ribli,Hungary,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1987,,Dortmund,,Germany,Yuri Balashov,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1988,,Dortmund,,Germany,Smbat Lputian,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1989,,Dortmund,,Germany,Efim Geller,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1990,,Dortmund,,Germany,Alexander Chernin,Soviet Union,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1991,,Dortmund,,Germany,Igor Štohl,Czech Republic,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1992,,Dortmund,,Germany,Garry Kasparov,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1993,,Dortmund,,Germany,Anatoly Karpov,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1994,,Dortmund,,Germany,Jeroen Piket,Netherlands,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1995,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1996,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1997,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1998,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,1999,,Dortmund,,Germany,Peter Leko,Hungary,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2000,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2001,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2002,,Dortmund,,Germany,Peter Leko,Hungary,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2003,,Dortmund,,Germany,Victor Bologan,Moldova,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2004,,Dortmund,,Germany,Viswanathan Anand,India,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2005,,Dortmund,,Germany,Arkadij Naiditsch,Germany,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2006,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2007,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2008,,Dortmund,,Germany,Peter Leko,Hungary,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2009,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2010,,Dortmund,,Germany,Ruslan Ponomariov,Ukraina,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2011,,Dortmund,,Germany,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2012,,Dortmund,,Germany,Fabiano Caruana,Italy,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2013,,Dortmund,,Germany,Michael Adams,England,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2014,,Dortmund,,Germany,Fabiano Caruana,Italy,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2015,,Dortmund,,Germany,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2016,,Dortmund,,Germany,Maxime Vachier-Lagrave,France,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2017,,Dortmund,,Germany,Radosław Wojtaszek,Poland,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2018,,Dortmund,,Germany,Ian Nepomniachtchi,Russia,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2019,,Dortmund,,Germany,Leinier Domínguez,United States,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2021,,Dortmund,,Germany,Pavel Eljanov,Ukraina,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2022,,Dortmund,,Germany,Pavel Eljanov,Ukraina,,,,,,,,,,,,
Chess,,,classical,Dortmund Sparkassen Chess Meeting,,2023,,Dortmund,,Germany,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,World Championship,classical,Grand Prix,,2008-10,,,,,Levon Aronian,Armenia,,,,Teimour Radjabov,Azerbaijan,,,,Alexander Grischuk,Russia,,
Chess,,World Championship,classical,Grand Prix,,2012-13,,,,,Veselin Topalov,Bulgaria,,,,Shakhriyar Mamedyarov,Azerbaijan,,,,Fabiano Caruana,Italy,,
Chess,,World Championship,classical,Grand Prix,,2014-15,,,,,Fabiano Caruana,Italy,,,,Hikaru Nakamura,United States,,,,Dmitry Jakovenko,Russia,,
Chess,,World Championship,classical,Grand Prix,,2017,,,,,Shakhriyar Mamedyarov,Azerbaijan,,,,Alexander Grischuk,Russia,,,,Teimour Radjabov,Azerbaijan,,
Chess,,World Championship,classical,Grand Prix,,2019,,,,,Alexander Grischuk,Russia,,,,Ian Nepomniachtchi,Russia,,,,Maxime Vachier-Lagrave,France,,
Chess,,World Championship,classical,Grand Prix,,2022,,,,,Hikaru Nakamura,United States,,,,Richárd Rapport,Hungary,,,,Wesley So,United States,,
Chess,,World Championship,classical,Grand Swiss,,2019,,Santon,,Isle of Man,Wang Hao,China,,,,Fabiano Caruana,United States,,,,Kirill Alekseenko,Russia,,
Chess,,World Championship,classical,Grand Swiss,,2021,,Riga,,Latvia,Alireza Firouzja,France,,,,Fabiano Caruana,United States,,,,Grigoriy Oparin,Russia,,
Chess,,World Championship,classical,Grand Swiss,,2023,,Douglas,,Isle of Man,Gujrathi Vidit,India,,,,Hikaru Nakamura,United States,,,,Andrey Esipenko,Russia,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2009,,London,,United Kingdom,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2010,,London,,United Kingdom,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2011,,London,,United Kingdom,Vladimir Kramnik,Russia,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2012,,London,,United Kingdom,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2013,,London,,United Kingdom,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2014,,London,,United Kingdom,Viswanathan Anand,India,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2015,,London,,United Kingdom,Magnus Carlsen,Norway,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2016,,London,,United Kingdom,Wesley So,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2017,,London,,United Kingdom,Fabiano Caruana,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2018,,London,,United Kingdom,Hikaru Nakamura,United States,,,,,,,,,,,,
Chess,,Grand Chess Tour,classical,London Chess Classic,,2019,,London,,United Kingdom,Ding Liren,China,,,,,,,,,,,,
Chess,,Grand Chess Tour,biltz,Norway Chess (Blitz),,2013,,Sergey Karjakin,Russia,,,,,,,,,,,,,,,
